在り来り,ありきたり
愛する,あいする
遊び,あそび
脚,あし
悪名,あくめい
アレルギー,あれるぎー
改め,あらため
油揚げ,あぶらあげ
アンサンブル,あんさんぶる
あきれる,あきれる
アシスト,あしすと
有り触れる,ありふれる
愛読,あいどく
圧力,あつりょく
悪徳,あくとく
アラーム,あらーむ
アナウンサー,あなうんさー
憧れる,あこがれる
あひる,あひる
上げ下ろし,あげおろし
歩き回る,あるきまわる
アプローチ,あぷろーち
アンティーク,あんてぃーく
赤色,あかいろ
安否,あんぴ
和え物,あえもの
明かり,あかり
アクセル,あくせる
浴びせる,あびせる
粗筋,あらすじ
荒れ狂う,あれくるう
温か,あたたか
アダルト,あだると
悪党,あくとう
悪魔,あくま
歩み寄る,あゆみよる
明るい,あかるい
愛,あい
アングル,あんぐる
危ぶむ,あやぶむ
浅はか,あさはか
あたふた,あたふた
アクセス,あくせす
合図,あいず
相棒,あいぼう
足踏み,あしぶみ
あっけない,あっけない
アップル,あっぷる
アーケード,あーけーど
アスパラガス,あすぱらがす
荒らす,あらす
アルカリ性,あるかりせい
暴く,あばく
あちこち,あちらこちら
洗い,あらい
暑い,あつい
悪質,あくしつ
炙る,あぶる
預かる,あずかる
暴れる,あばれる
悪名高い,あくめいたかい
哀れむ,あわれむ
あご,あご
暁,あかつき
圧力鍋,あつりょくなべ
アマチュア,あまちゅあ
明るみ,あかるみ
あいづち,あいづち
あしらう,あしらう
あさる,あさる
あそこ,あそこ
アパート,あぱーと
後片付け,あとかたづけ
アート,あーと
安楽,あんらく
アンモニア,あんもにあ
味わう,あじわう
浴びる,あびる
アレンジ,あれんじ
ＩＴ,あいてぃー
悪態,あくたい
アフリカ,あふりか
青い,あおい
アイス,あいす
アナウンス,あなうんす
歩み,あゆみ
宛て先,あてさき
足場,あしば
当て逃げ,あてにげ
有様,ありさま
明らか,あきらか
浅い,あさい
足音,あしおと
アイヌ,あいぬ
跡継ぎ,あとつぎ
アフターサービス,あふたーさーびす
泡,あわ
アロハ,あろは
案じる,あんじる
雨,あめ
合間,あいま
集める,あつめる
余り物,あまりもの
アニマル,あにまる
兄弟子,あにでし
暗殺,あんさつ
歩く,ありく
あかし,あかし
アドバイザー,あどばいざー
集まり,あつまり
アルカリ,あるかり
悪用,あくよう
案内状,あんないじょう
あんかけ,あんかけ
当て,あて
アニメ,あにめ
甘み,あまみ
あからさま,あからさま
愛煙家,あいえんか
相手,あいて
悪臭,あくしゅう
安全保障,あんぜんほしょう
悪友,あくゆう
暗証,あんしょう
あなた,あなた
余る,あまる
兄,あに
アイルランド,あいるらんど
哀愁,あいしゅう
あさり,あさり
誤り,あやまり
網棚,あみだな
喘ぐ,あえぐ
アクリル,あくりる
明日,あした
アルミ箔,あるみはく
秋祭り,あきまつり
危うい,あやうい
足取り,あしどり
亜熱帯,あねったい
上げ下げ,あげさげ
足元,あしもと
あがく,あがく
油,あぶら
甘塩,あまじお
アドレス,あどれす
後始末,あとしまつ
謝る,あやまる
アルプス,あるぷす
過ち,あやまち
表れる,あらわれる
上がり,あがり
あだ,あだ
あきらめ,あきらめ
洗い流す,あらいながす
上がり込む,あがりこむ
アンコール,あんこーる
秋,あき
有り難い,ありがたい
改める,あらためる
曖昧,あいまい
あさって,あさって
穴埋め,あなうめ
荒っぽい,あらっぽい
鮮やか,あざやか
当てはまる,あてはまる
明日,あす
浅漬け,あさづけ
当たり障り,あたりさわり
操る,あやつる
朝日,あさひ
アフター,あふたー
悪意,あくい
雨降り,あめふり
厚かましい,あつかましい
雨水,あまみず
アーム,あーむ
安全保障条約,あんぜんほしょうじょうやく
当たる,あたる
荒れ地,あれち
雨雲,あまぐも
甘辛い,あまからい
泡立つ,あわだつ
後先,あとさき
厚み,あつみ
あやす,あやす
洗う,あらう
怪しい,あやしい
憧れ,あこがれ
アウト,あうと
頭,あたま
愛敬,あいきょう
愛車,あいしゃ
アルミ,あるみ
合わせ,あわせ
危ない,あぶない
甘んずる,あまんずる
温かみ,あたたかみ
悪夢,あくむ
当たり前,あたりまえ
後味,あとあじ
握力,あくりょく
あゆ,あゆ
相方,あいかた
開く,あく
厚紙,あつがみ
相次ぐ,あいつぐ
集まる,あつまる
空き地,あきち
青空,あおぞら
穴,あな
アイデンティティー,あいでんてぃてぃー
青信号,あおしんごう
暗証番号,あんしょうばんごう
朝市,あさいち
あざ,あざ
安泰,あんたい
あちら,あちら
粗びき,あらびき
ある,ある
圧倒的,あっとうてき
アール,あーる
赤十字,あかじゅうじ
あくび,あくび
遊ぶ,あそぶ
味見,あじみ
案外,あんがい
アダプター,あだぷたー
明け方,あけがた
慌ただしい,あわただしい
アドバイス,あどばいす
当てる,あてる
悪事,あくじ
アリバイ,ありばい
安価,あんか
アンケート,あんけーと
安打,あんだ
会う,あう
編み出す,あみだす
跡取り,あととり
和える,あえる
当て字,あてじ
足腰,あしこし
熱々,あつあつ
赤血球,あかけっきゅう
案内,あんない
アイスコーヒー,あいすこーひー
後,あと
味気無い,あじきない
あっさり,あっさり
アンプ,あんぷ
雨漏り,あまもり
アナウンサー,あなうんさ
預ける,あずける
あんこ,あんこ
アクセント,あくせんと
明かす,あかす
暗黙,あんもく
間柄,あいだがら
アウトドア,あうとどあ
値する,あたいする
案内書,あんないしょ
アンカー,あんかー
揚げ油,あげあぶら
値,あたい
あきらめる,あきらめる
編み物,あみもの
表す,あらわす
露わ,あらわ
与える,あたえる
アパレル,あぱれる
アルコール,あるこーる
ＩＱ,あいきゅー
暗黒,あんこく
油絵,あぶらえ
悪役,あくやく
相手方,あいてかた
挙げ句,あげく
甘口,あまくち
溢れる,あふれる
改まる,あらたまる
愛用,あいよう
アンテナ,あんてな
あいつ,あいつ
足掛かり,あしがかり
安易,あんい
尼,あま
明け暮れる,あけくれる
アボカド,あぼかど
アシスタント,あしすたんと
後回し,あとまわし
合わす,あわす
安置,あんち
揚げ足,あげあし
悪性,あくせい
厚揚げ,あつあげ
青,あお
甘い,あまい
甘える,あまえる
相変わらず,あいかわらず
争い,あらそい
握手,あくしゅ
アジア,あじあ
アイディア,あいでぃあ
甘やかす,あまやかす
愛国,あいこく
足首,あしくび
アンダー,あんだー
アドベンチャー,あどべんちゃー
洗い物,あらいもの
朝,あさ
合い言葉,あいことば
曙,あけぼの
相性,あいしょう
上がる,あがる
暗号,あんごう
網戸,あみど
飽きる,あきる
アラブ,あらぶ
余り,あまり
暖かい,あたたかい
