色々,いろいろ
石垣,いしがき
一方,いっぽう
いとま,いとま
印象的,いんしょうてき
位置づける,いちつける
異常,いじょう
異性,いせい
祈る,いのる
依頼,いらい
一刻,いっこく
いただき物,いただきもの
いとこ,いとこ
急ぎ,いそぎ
生き返る,いきかえる
言い合い,いいあい
妹,いもうと
一日,いちにち
色直し,いろなおし
入れ物,いれもの
色合い,いろあい
イスラム,いすらむ
萎縮,いしゅく
いざこざ,いざこざ
生け花,いけばな
一気,いっき
いろは,いろは
戦,いくさ
息苦しい,いきぐるしい
今,いま
糸口,いとぐち
行き当たり,いきあたり
いちず,いちず
家々,いえいえ
怒り,いかり
言い替える,いいかえる
育児,いくじ
行き,いき
陰謀,いんぼう
言い回し,いいまわし
猪,いのしし
一体,いったい
一括,いっかつ
入れ替え,いれかえ
インテリ,いんてり
入り口,いりぐち
委託,いたく
以後,いご
いらいら,いらいら
遺作,いさく
いびつ,いびつ
今まで,いままで
居心地,いごこち
異質,いしつ
幾ら,いくら
井戸,いど
胃腸,いちょう
入れる,いれる
いかれる,いかれる
一列,いちれつ
遺産相続,いさんそうぞく
一時,いっとき
生き物,いきもの
痛々しい,いたいたしい
イスラム教,いすらむきょう
今時,いまどき
痛ましい,いたましい
一段落,いちだんらく
行き先,いきさき
インク,いんく
一様,いちよう
嫌がる,いやがる
いらっしゃる,いらっしゃる
一夫多妻,いっぷたさい
いかがわしい,いかがわしい
板の間,いたのま
飲食,いんしょく
稲妻,いなずま
一式,いっしき
いじめっこ,いじめっこ
一昨日,いっさくじつ
言い聞かせる,いいきかせる
いか,いか
いとう,いとう
至る,いたる
泉,いずみ
いろり,いろり
イヤリング,いやりんぐ
憤り,いきどおり
急ぐ,いそぐ
言う,いう
今風,いまふう
一族,いちぞく
生き生き,いきいき
経緯,いきさつ
イベント,いべんと
院長,いんちょう
一切,いっさい
一角,いっかく
いす,いす
祈り,いのり
岩,いわ
岩肌,いわはだ
イニシャル,いにしゃる
逸する,いっする
挑む,いどむ
五日,いつか
印税,いんぜい
いそ,いそ
言い合う,いいあう
イースター,いーすたー
池,いけ
偉大,いだい
インフレ,いんふれ
幾多,いくた
意味,いみ
印象,いんしょう
異例,いれい
一撃,いちげき
一杯,いっぱい
意地悪い,いじわるい
慰謝料,いしゃりょう
イエロー,いえろー
イージー,いーじー
急ぎ足,いそぎあし
偽る,いつわる
今頃,いまごろ
一時的,いちじてき
意欲,いよく
生き埋め,いきうめ
言い付ける,いいつける
一つ,いちつ
一夜,いちや
戒める,いましめる
色物,いろもの
遺伝子,いでんし
引用,いんよう
移住,いじゅう
育成,いくせい
命懸け,いのちがけ
陰気,いんき
一々,いちいち
五つ,いつつ
いかが,いかが
潔い,いさぎよい
飲酒,いんしゅ
インターナショナル,いんたーなしょなる
著しい,いちじるしい
色眼鏡,いろめがね
一方通行,いっぽうつうこう
異国,いこく
一名,いちめい
いにしえ,いにしえ
インターネット,いんたーねっと
イギリス,いぎりす
一同,いちどう
意地悪,いじわる
インド,いんど
胃袋,いぶくろ
いじめ,いじめ
命,いのち
