ＬＬ,えるえる
駅前,えきまえ
ＡＩＤＳ,えいず
得る,える
エコー,えこー
エステ,えすて
営利,えいり
エンジョイ,えんじょい
鉛筆,えんぴつ
Ａ型,えーがた
演説,えんぜつ
エキストラ,えきすとら
えぐい,えぐい
縁日,えんにち
エッセンス,えっせんす
ＭＶＰ,えむぶいぴー
永久,えいきゅう
偉い,えらい
エコノミークラス,えこのみーくらす
えら,えら
エラー,えらー
江戸っ子,えどっこ
エアロビクス,えあろびくす
演出,えんしゅつ
Ｌサイズ,えるさいず
ＮＧ,えぬじー
エントリー,えんとりー
笑顔,えがお
遠距離,えんきょり
エレベーター,えれべーた
遠泳,えんえい
えげつない,えげつない
液晶,えきしょう
笑み,えみ
衛星,えいせい
エキサイト,えきさいと
絵文字,えもじ
英国,えいこく
エコノミー,えこのみー
英文学,えいぶんがく
円滑,えんかつ
塩素,えんそ
エレベーター,えれべーたー
エンターテインメント,えんたーていんめんと
ＳＯＳ,えすおーえす
液状,えきじょう
襟元,えりもと
エチケット,えちけっと
エジプト,えじぷと
エスカレート,えすかれーと
営業,えいぎょう
栄養,えいよう
エキスパート,えきすぱーと
エンド,えんど
英訳,えいやく
エキス,えきす
エロ,えろ
エンスト,えんすと
エース,えーす
えび,えび
演劇,えんげき
エトセトラ,えとせとら
絵巻,えまき
遠慮,えんりょ
縁故,えんこ
英和,えいわ
エリート,えりーと
円グラフ,えんぐらふ
演習,えんしゅう
永続,えいぞく
ＳＰ,えすぴー
映画,えいが
影響力,えいきょうりょく
エスケープ,えすけーぷ
援助,えんじょ
江戸,えど
栄養素,えいようそ
えくぼ,えくぼ
ＡＭ,えーえむ
絵柄,えがら
えさ,えさ
液体,えきたい
獲物,えもの
遠征,えんせい
Ｍサイズ,えむさいず
延滞,えんたい
栄養価,えいようか
栄光,えいこう
ＬＰ,えるぴー
え付け,えづけ
エンゲージ,えんげーじ
えぐる,えぐる
円高,えんだか
エゴ,えご
演奏,えんそう
ＦＭ,えふえむ
永住,えいじゅう
遠方,えんぽう
エッグ,えっぐ
園長,えんちょう
映像,えいぞう
演技,えんぎ
塩水,えんすい
絵馬,えま
干支,えと
エンディング,えんでぃんぐ
園児,えんじ
ＳＦ,えすえふ
遠隔,えんかく
襟,えり
絵葉書,えはがき
Ｓサイズ,えすさいず
襟足,えりあし
会釈,えしゃく
枝,えだ
駅,えき
延期,えんき
英雄,えいゆう
演ずる,えんずる
エッセイスト,えっせいすと
遠足,えんそく
エンジニア,えんじにあ
炎症,えんしょう
エレクトロニクス,えれくとろにくす
枝分かれ,えだわかれ
宴会,えんかい
ＡＤ,えーでぃー
遠隔操作,えんかくそうさ
英字,えいじ
エレキギター,えれきぎたー
エンドレス,えんどれす
延命,えんめい
映画監督,えいがかんとく
エロチック,えろちっく
駅舎,えきしゃ
エッジ,えっじ
エピソード,えぴそーど
描く,えがく
エナメル,えなめる
エスカレーター,えすかれーたー
影響,えいきょう
エッセー,えっせー
選ぶ,えらぶ
エレキ,えれき
枝毛,えだげ
縁側,えんがわ
ＳＬ,えすえる
エスニック,えすにっく
エネルギー,えねるぎー
英語,えいご
絵の具,えのぐ
映画化,えいがか
園芸,えんげい
煙突,えんとつ
エリア,えりあ
円形,えんけい
エメラルド,えめらるど
エンジェル,えんじぇる
演歌,えんか
ＦＭ放送,えふえむほうそう
エスカレーター,えすかれーた
