横断歩道,おうだんほどう
お手上げ,おてあげ
黄色,おうしょく
お節,おせち
押し入れ,おしいれ
置く,おく
送り返す,おくりかえす
折々,おりおり
お供え物,おそなえもの
恐ろしい,おそろしい
音波,おんぱ
落ち着き,おちつき
おれ,おれ
おごる,おごる
置き去り,おきざり
己,おのれ
覚える,おぼえる
訪れ,おとずれ
遅らせる,おくらせる
お礼,おれい
覆う,おおう
親心,おやごころ
落とし物,おとしもの
音域,おんいき
及ぼす,およぼす
憶測,おくそく
オーディオ,おーでぃお
終える,おえる
おとなしい,おとなしい
卸,おろし
多く,おおく
おやじ,おやじ
大雑把,おおざっぱ
お土産,おみやげ
親方,おやかた
王族,おうぞく
おしっこ,おしっこ
オーストリア,おーすとりあ
思い込む,おもいこむ
オーバーヒート,おーばーひーと
思い浮かぶ,おもいうかぶ
おしゃれ,おしゃれ
王子,おうじ
おまる,おまる
オーロラ,おーろら
おなご,おなご
穏やか,おだやか
おっくう,おっくう
オリジナル,おりじなる
終わる,おわる
起こり,おこり
思い直す,おもいなおす
重んずる,おもんずる
折り返し,おりかえし
オーケストラ,おーけすとら
温和,おんわ
面白おかしい,おもしろおかしい
おいら,おいら
音痴,おんち
大蔵省,おおくらしょう
お参り,おまいり
落ち度,おちど
おかず,おかず
衰える,おとろえる
オリンピック,おりんぴっく
オフサイド,おふさいど
思い切る,おもいきる
犯す,おかす
陥れる,おとしいれる
押さえ,おさえ
落ちる,おちる
オーバーオール,おーばーおーる
温水,おんすい
音読,おんどく
惜しむ,おしむ
温帯,おんたい
往路,おうろ
おわび,おわび
追い付く,おいつく
思い出,おもいで
大きい,おおきい
汚職,おしょく
弟,おとうと
大勢,おおぜい
補う,おぎなう
乙女,おとめ
お休み,おやすみ
折しも,おりしも
大声,おおごえ
折から,おりから
御中,おんちゅう
思い立つ,おもいたつ
おかみ,おかみ
泳ぐ,およぐ
おっぱい,おっぱい
教え込む,おしえこむ
臆病,おくびょう
応急,おうきゅう
面白い,おもしろい
重い,おもい
折り込み,おりこみ
オリーブ,おりーぶ
温度,おんど
男の子,おとこのこ
おふくろ,おふくろ
女の人,おんなのひと
起こし,おこし
音符,おんぷ
おっとり,おっとり
行い,おこない
大奥,おおおく
応じる,おうじる
凹凸,おうとつ
置き場,おきば
追い詰める,おいつめる
オンリー,おんりー
思い切り,おもいきり
