該当,がいとう
頑丈,がんじょう
ガレージ,がれーじ
ガーゼ,がーぜ
願書,がんしょ
外車,がいしゃ
外交,がいこう
学割,がくわり
外的,がいてき
学区,がっく
ガーデニング,がーでにんぐ
楽譜,がくふ
ガム,がむ
眼科,がんか
学級,がっきゅう
がっかり,がっかり
学童,がくどう
概略,がいりゃく
学科,がっか
学歴社会,がくれきしゃかい
外出,がいしゅつ
合併,がっぺい
害虫,がいちゅう
外国,がいこく
外野,がいや
学歴,がくれき
学校,がっこう
外食産業,がいしょくさんぎょう
害,がい
ガムテープ,がむてーぷ
害する,がいする
外来,がいらい
画家,がか
外務省,がいむしょう
画用紙,がようし
がさがさ,がさがさ
街路,がいろ
外務,がいむ
概要,がいよう
学会,がっかい
がっちり,がっちり
外壁,がいへき
学問的,がくもんてき
外国語,がいこくご
画集,がしゅう
学者,がくしゃ
学名,がくめい
外国文学,がいこくぶんがく
学力,がくりょく
外圧,がいあつ
願望,がんぼう
眼球,がんきゅう
がつがつ,がつがつ
外来語,がいらいご
学芸,がくげい
がたがた,がたがた
学帽,がくぼう
楽,がく
学生運動,がくせいうんどう
学業,がくぎょう
がちゃがちゃ,がちゃがちゃ
楽屋,がくや
外周,がいしゅう
ガソリンスタンド,がそりんすたんど
学生,がくせい
頑固,がんこ
ガードル,がーどる
画像,がぞう
外相,がいしょう
外野席,がいやせき
学習塾,がくしゅうじゅく
合致,がっち
ガードレール,がーどれーる
がっくり,がっくり
ガス,がす
外界,がいかい
学習,がくしゅう
がら,がら
ガッツ,がっつ
外気,がいき
外食,がいしょく
がりがり,がりがり
合衆国,がっしゅうこく
画質,がしつ
外資,がいし
ガイドブック,がいどぶっく
外泊,がいはく
学長,がくちょう
元祖,がんそ
学資,がくし
楽曲,がっきょく
玩具,がんぐ
学部,がくぶ
学費,がくひ
外部,がいぶ
餓死,がし
学期,がっき
学術,がくじゅつ
雅楽,ががく
学位,がくい
頑張る,がんばる
ガード,がーど
ガスボンベ,がすぼんべ
形,がた
餓鬼,がき
がさつ,がさつ
ガラス,がらす
外装,がいそう
学説,がくせつ
学識,がくしき
合唱,がっしょう
外野手,がいやしゅ
岩石,がんせき
がけ,がけ
合体,がったい
ガーリック,がーりっく
学内,がくない
合宿,がっしゅく
街路樹,がいろじゅ
ガイド,がいど
ガス灯,がすとう
