極まる,きわまる
貴重,きちょう
極東,きょくとう
金曜,きんよう
きずな,きずな
気付く,きづく
客室,きゃくしつ
強風,きょうふう
切符,きっぷ
吉報,きっぽう
金色,きんいろ
気持ち良い,きもちいい
きらきら,きらきら
刻み込む,きざみこむ
機械的,きかいてき
貴族,きぞく
亀裂,きれつ
強制的,きょうせいてき
キック,きっく
脅威,きょうい
強度,きょうど
救出,きゅうしゅつ
競技場,きょうぎじょう
共同,きょうどう
帰化,きか
キャベツ,きゃべつ
球場,きゅうじょう
禁物,きんもつ
教材,きょうざい
共通語,きょうつうご
強固,きょうこ
急上昇,きゅうじょうしょう
基本給,きほんきゅう
記述,きじゅつ
記載,きさい
興ずる,きょうずる
気安い,きやすい
基礎,きそ
気象衛星,きしょうえいせい
聞き方,ききかた
教授,きょうじゅ
着飾る,きかざる
切り捨てる,きりすてる
霧吹き,きりふき
休憩,きゅうけい
きゅうり,きゅうり
切り替え,きりかえ
境遇,きょうぐう
奇数,きすう
急行,きゅうこう
究極,きゅうきょく
築く,きずく
聞き入る,ききいる
キャンパス,きゃんぱす
休業,きゅうぎょう
球児,きゅうじ
緊迫,きんぱく
キャスティング,きゃすてぃんぐ
旧式,きゅうしき
キャディー,きゃでぃー
気配り,きくばり
気楽,きらく
窮屈,きゅうくつ
気泡,きほう
切り抜ける,きりぬける
喜劇,きげき
教育者,きょういくしゃ
きらめく,きらめく
気さく,きさく
脅迫,きょうはく
郷里,きょうり
気象庁,きしょうちょう
キロ,きろ
きつい,きつい
帰結,きけつ
救命,きゅうめい
興味本位,きょうみほんい
共産主義,きょうさんしゅぎ
キャラメル,きゃらめる
緊急,きんきゅう
金ぴか,きんぴか
聞き逃す,ききのがす
客観的,きゃっかんてき
客用,きゃくよう
強制執行,きょうせいしっこう
給付,きゅうふ
緊急事態,きんきゅうじたい
机上,きじょう
供給,きょうきゅう
切り落とす,きりおとす
キープ,きーぷ
金額,きんがく
際どい,きわどい
曲,きょく
帰郷,ききょう
恐怖,きょうふ
聞き返す,ききかえす
決まる,きまる
聞き出す,ききだす
キーワード,きーわーど
近郊,きんこう
記入,きにゅう
近代化,きんだいか
キャンセル,きゃんせる
清める,きよめる
興味,きょうみ
勤務,きんむ
気圧,きあつ
勤労,きんろう
旧姓,きゅうせい
近況,きんきょう
切り開く,きりひらく
気質,きしつ
恐喝,きょうかつ
緊張,きんちょう
極度,きょくど
吸血鬼,きゅうけつき
気難しい,きむずかしい
季節,きせつ
強弱,きょうじゃく
企業,きぎょう
勤労者,きんろうしゃ
給食,きゅうしょく
急務,きゅうむ
きんちゃく,きんちゃく
巨大,きょだい
金利,きんり
局長,きょくちょう
器具,きぐ
清い,きよい
鍛える,きたえる
教育実習,きょういくじっしゅう
切れ味,きれあじ
キックボクシング,きっくぼくしんぐ
嫌う,きらう
気の毒,きのどく
拒絶,きょぜつ
傷口,きずぐち
決まり文句,きまりもんく
金塊,きんかい
凶作,きょうさく
救急,きゅうきゅう
帰宅,きたく
許可,きょか
恐竜,きょうりゅう
切り口,きりくち
キルティング,きるてぃんぐ
北側,きたがわ
気取る,きどる
共通,きょうつう
きっぱり,きっぱり
協定,きょうてい
救済,きゅうさい
気兼ね,きがね
拒否,きょひ
休暇,きゅうか
気遣い,きづかい
脅迫罪,きょうはくざい
共有,きょうゆう
競争,きょうそう
切り替わる,きりかわる
着替える,きかえる
教室,きょうしつ
筋力,きんりょく
昨日今日,きのうきょう
急増,きゅうぞう
強行,きょうこう
聞き苦しい,ききぐるしい
給与,きゅうよ
奇抜,きばつ
切り取る,きりとる
気まずい,きまずい
消え去る,きえさる
決める,きめる
金髪,きんぱつ
嗅覚,きゅうかく
切り刻む,きりきざむ
切り替える,きりかえる
着込む,きこむ
筋肉質,きんにくしつ
急流,きゅうりゅう
切っ掛け,きっかけ
供述,きょうじゅつ
教諭,きょうゆ
刻み,きざみ
切れ,きれ
均一,きんいつ
近日,きんじつ
教育課程,きょういくかてい
きゃしゃ,きゃしゃ
協調,きょうちょう
キャンピングカー,きゃんぴんぐかー
キログラム,きろぐらむ
キャンデー,きゃんでー
絹,きぬ
近所,きんじょ
希薄,きはく
聞き取る,ききとる
気軽,きがる
北国,きたぐに
基本的,きほんてき
吸入,きゅうにゅう
気違い,きちがい
教頭,きょうとう
キャミソール,きゃみそーる
キャンプ,きゃんぷ
霧,きり
機密,きみつ
黄ばむ,きばむ
気掛かり,きがかり
キウイ,きうい
近代的,きんだいてき
キリスト,きりすと
寄与,きよ
黄色,きいろ
均等,きんとう
切り離す,きりはなす
却下,きゃっか
キット,きっと
教育的,きょういくてき
記事,きじ
北,きた
汚い,きたない
聞かす,きかす
記念切手,きねんきって
金貨,きんか
教科,きょうか
キャスト,きゃすと
禁じる,きんじる
機種,きしゅ
切り出す,きりだす
挙式,きょしき
禁止,きんし
機械,きかい
季節風,きせつふう
宮廷,きゅうてい
きつね,きつね
起用,きよう
極小,きょくしょう
教育委員会,きょういくいいんかい
極める,きわめる
近代,きんだい
球界,きゅうかい
キャンバス,きゃんばす
決め付ける,きめつける
記念碑,きねんひ
客,きゃく
きっちり,きっちり
木彫り,きぼり
曲目,きょくもく
期する,きする
木登り,きのぼり
聞こえる,きこえる
きびきび,きびきび
キリスト教,きりすときょう
着る,きる
金閣,きんかく
キーパー,きーぱー
聞き込む,ききこむ
兄弟,きょうだい
期待,きたい
教会,きょうかい
機材,きざい
キャンピング,きゃんぴんぐ
教祖,きょうそ
興味深い,きょうみぶかい
近接,きんせつ
機関車,きかんしゃ
奇跡的,きせきてき
共通項,きょうつうこう
給油,きゅうゆ
聞き入れる,ききいれる
気力,きりょく
協議会,きょうぎかい
昨日,きのう
帰省,きせい
機械化,きかいか
清らか,きよらか
金庫,きんこ
嫌い,きらい
希少価値,きしょうかち
吸水,きゅうすい
奇跡,きせき
きょろきょろ,きょろきょろ
極め,きわめ
胸部,きょうぶ
着せる,きせる
聞き覚え,ききおぼえ
起動,きどう
キャッシュカード,きゃっしゅかーど
切り上げる,きりあげる
競う,きそう
共産党,きょうさんとう
キャラクター,きゃらくたー
気流,きりゅう
騎士,きし
北アメリカ,きたあめりか
協同組合,きょうどうくみあい
禁ずる,きんずる
気絶,きぜつ
キャッシュ,きゃっしゅ
凶器,きょうき
切れる,きれる
奇妙,きみょう
今日,きょう
黄色い,きいろい
聞き,きき
期末,きまつ
期日,きじつ
教習,きょうしゅう
近距離,きんきょり
距離,きょり
救助,きゅうじょ
境地,きょうち
切り身,きりみ
聞き分ける,ききわける
許容,きょよう
強制,きょうせい
共同体,きょうどうたい
競売,きょうばい
記者,きしゃ
恐縮,きょうしゅく
強烈,きょうれつ
キャッチフレーズ,きゃっちふれーず
給料,きゅうりょう
教育,きょういく
教師,きょうし
客席,きゃくせき
基地,きち
気合い,きあい
キムチ,きむち
休止,きゅうし
金メダル,きんめだる
飢餓,きが
急用,きゅうよう
切り抜く,きりぬく
機動隊,きどうたい
教養,きょうよう
客引き,きゃくひき
聞く,きく
金属,きんぞく
救急車,きゅうきゅうしゃ
聞き手,ききて
休日,きゅうじつ
教習所,きょうしゅうしょ
切り返し,きりかえし
規約,きやく
キー,きー
気持ち,きもち
記憶,きおく
キーボード,きーぼーど
規則正しい,きそくただしい
企画,きかく
切り捨て,きりすて
切手,きって
禁酒,きんしゅ
起立,きりつ
着替え,きがえ
きんぴら,きんぴら
記録,きろく
極み,きわみ
喫茶,きっさ
刻む,きざむ
巨額,きょがく
キリスト教徒,きりすときょうと
金魚,きんぎょ
決まり,きまり
聞き付ける,ききつける
共鳴,きょうめい
キング,きんぐ
客間,きゃくま
キャスター,きゃすたー
急激,きゅうげき
帰国,きこく
貴金属,ききんぞく
気取り,きどり
兆し,きざし
切り抜き,きりぬき
キーホルダー,きーほるだー
気に入り,きにいり
気長,きなが
際立つ,きわだつ
切り取り,きりとり
機内,きない
切り詰める,きりつめる
キュート,きゅーと
貴公子,きこうし
強者,きょうしゃ
筋肉,きんにく
窮乏,きゅうぼう
キャビア,きゃびあ
キャッチャー,きゃっちゃー
強打,きょうだ
傷,きず
きちんと,きちんと
危害,きがい
規則,きそく
気管支,きかんし
吸血,きゅうけつ
恐怖症,きょうふしょう
寄生虫,きせいちゅう
切れ目,きれめ
金融,きんゆう
キャンドル,きゃんどる
キックオフ,きっくおふ
凶悪,きょうあく
協力,きょうりょく
気象台,きしょうだい
効き目,ききめ
奇形,きけい
起床,きしょう
記号,きごう
きれい,きれい
急速,きゅうそく
記名,きめい
希望,きぼう
気遣う,きづかう
競争力,きょうそうりょく
寄付,きふ
幾何学,きかがく
キロメートル,きろめーとる
決め手,きめて
きのこ,きのこ
奇異,きい
教科書,きょうかしょ
季語,きご
九,きゅう
危険性,きけんせい
金曜日,きんようび
旧暦,きゅうれき
キャッチ,きゃっち
キス,きす
近代文学,きんだいぶんがく
給湯,きゅうとう
消える,きえる
着物,きもの
来たる,きたる
居住,きょじゅう
規模,きぼ
