行事,ぎょうじ
行列,ぎょうれつ
虐待,ぎゃくたい
凝固,ぎょうこ
儀礼,ぎれい
銀色,ぎんいろ
技巧的,ぎこうてき
議長,ぎちょう
漁港,ぎょこう
ギャラリー,ぎゃらりー
玉,ぎょく
犠牲,ぎせい
議決,ぎけつ
牛乳,ぎゅうにゅう
行,ぎょう
義足,ぎそく
逆効果,ぎゃくこうか
技量,ぎりょう
ギャング,ぎゃんぐ
漁業,ぎょぎょう
逆探知,ぎゃくたんち
技術,ぎじゅつ
虐殺,ぎゃくさつ
業績,ぎょうせき
偽造,ぎぞう
業界,ぎょうかい
ギタリスト,ぎたりすと
ギフト,ぎふと
銀貨,ぎんか
ぎりぎり,ぎりぎり
儀式,ぎしき
逆,ぎゃく
ギャル,ぎゃる
逆上,ぎゃくじょう
ギブアップ,ぎぶあっぷ
銀行,ぎんこう
偽善者,ぎぜんしゃ
ギャンブル,ぎゃんぶる
逆襲,ぎゃくしゅう
銀河系,ぎんがけい
銀閣,ぎんかく
行儀,ぎょうぎ
ぎざぎざ,ぎざぎざ
魚類,ぎょるい
義務,ぎむ
議会,ぎかい
技能,ぎのう
銀紙,ぎんがみ
犠牲者,ぎせいしゃ
牛肉,ぎゅうにく
義兄,ぎけい
ギア,ぎや
業者,ぎょうしゃ
ギャグ,ぎゃぐ
逆輸入,ぎゃくゆにゅう
行政改革,ぎょうせいかいかく
技術屋,ぎじゅつや
義父,ぎふ
疑似,ぎじ
ギャラ,ぎゃら
議事堂,ぎじどう
ギター,ぎたー
技法,ぎほう
ギャップ,ぎゃっぷ
義母,ぎぼ
技術者,ぎじゅつしゃ
魚介類,ぎょかいるい
逆説,ぎゃくせつ
ぎょっと,ぎょっと
ぎくしゃく,ぎくしゃく
ぎらぎら,ぎらぎら
技術的,ぎじゅつてき
ぎすぎす,ぎすぎす
義務教育,ぎむきょういく
義理,ぎり
技師,ぎし
銀座,ぎんざ
銀河,ぎんが
凝縮,ぎょうしゅく
技巧,ぎこう
議席,ぎせき
行政,ぎょうせい
銀世界,ぎんせかい
業種,ぎょうしゅ
疑惑,ぎわく
業務,ぎょうむ
