根拠,こんきょ
込める,こめる
心配り,こころくばり
高熱,こうねつ
後遺症,こういしょう
小遣い,こづかい
こっけい,こっけい
コロッケ,ころっけ
孤立,こりつ
功労,こうろう
刻,こく
国立,こくりつ
胡椒,こしょう
コンクール,こんくーる
高級,こうきゅう
国語,こくご
心構え,こころがまえ
航空,こうくう
交通事故,こうつうじこ
国際的,こくさいてき
木枯らし,こがらし
子供らしい,こどもらしい
国際空港,こくさいくうこう
好む,このむ
効能,こうのう
こぐ,こぐ
焦げ,こげ
コンパ,こんぱ
こま,こま
今夜,こんや
構造,こうぞう
コバルト,こばると
高血圧,こうけつあつ
子育て,こそだて
公的,こうてき
込む,こむ
根本的,こんぽんてき
購読,こうどく
今週,こんしゅう
国旗,こっき
交通渋滞,こうつうじゅうたい
工芸,こうげい
焦げ付く,こげつく
コンビナート,こんびなーと
港,こう
国民の祝日,こくみんのしゅくじつ
コンベヤー,こんべやー
今年,ことし
コンセプト,こんせぷと
壊れる,こわれる
骨折,こっせつ
粉,こな
子猫,こねこ
こうもり,こうもり
高地,こうち
工事,こうじ
金色,こんじき
構築,こうちく
こびる,こびる
国民性,こくみんせい
高等学校,こうとうがっこう
光沢,こうたく
呼吸,こきゅう
こらす,こらす
国勢,こくせい
混入,こんにゅう
コメンテーター,こめんてーたー
行楽,こうらく
こだわる,こだわる
コンビニエンス,こんびにえんす
こってり,こってり
小切手,こぎって
コーチ,こーち
転がす,ころがす
コントラスト,こんとらすと
鼓動,こどう
交流,こうりゅう
国交,こっこう
口座,こうざ
こたつ,こたつ
国家権力,こっかけんりょく
皇太子,こうたいし
コイル,こいる
講師,こうし
コメント,こめんと
香辛料,こうしんりょう
公約,こうやく
ことわざ,ことわざ
心地よい,ここちよい
国際条約,こくさいじょうやく
洪水,こうずい
こびり付く,こびりつく
コンサート,こんさーと
固形,こけい
広範囲,こうはんい
国際会議,こくさいかいぎ
拘束力,こうそくりょく
国王,こくおう
心遣い,こころづかい
こだわり,こだわり
焦げ目,こげめ
行為,こうい
小柄,こがら
小回り,こまわり
公衆電話,こうしゅうでんわ
コント,こんと
交代,こうたい
このごろ,このごろ
心当たり,こころあたり
