水平,すいへい
好き勝手,すきかって
スタンダード,すたんだーど
水流,すいりゅう
スーツケース,すーつけーす
するめ,するめ
スリム,すりむ
ストライキ,すとらいき
スラックス,すらっくす
座り,すわり
住み着く,すみつく
吸い込む,すいこむ
スピーカー,すぴーか
スーパーマーケット,すーぱーまーけっと
スノーボード,すのーぼーど
スカート,すかーと
少ない,すくない
水位,すいい
スムーズ,すむーず
酢漬け,すづけ
スピーチ,すぴーち
水中,すいちゅう
吸い上げる,すいあげる
スパイ,すぱい
過ごす,すごす
好き好き,すきずき
杉,すぎ
すする,すする
スランプ,すらんぷ
吸う,すう
スポンサー,すぽんさー
衰弱,すいじゃく
すき焼き,すきやき
スイッチ,すいっち
隅々,すみずみ
ストレッチ,すとれっち
スタジオ,すたじお
スライダー,すらいだー
澄み切る,すみきる
擦れる,すれる
水蒸気,すいじょうき
スペースシャトル,すぺーすしゃとる
健やか,すこやか
数個,すうこ
スモーク,すもーく
スタンバイ,すたんばい
過ぎる,すぎる
スキーヤー,すきーやー
スイング,すいんぐ
筋肉,すじにく
ストッパー,すとっぱー
水素,すいそ
座る,すわる
すもうとり,すもうとり
ストーリー,すとーりー
数字,すうじ
スト,すと
水星,すいせい
スターター,すたーたー
スパゲッティ,すぱげってぃ
スケッチブック,すけっちぶっく
ステレオタイプ,すてれおたいぷ
すがる,すがる
スポーツカー,すぽーつかー
擦れ擦れ,すれすれ
スタイル,すたいる
水泳,すいえい
ステータス,すてーたす
素振り,すぶり
透き通る,すきとおる
水量,すいりょう
スピッツ,すぴっつ
炊事,すいじ
素顔,すがお
スロット,すろっと
すれ違い,すれちがい
すりつぶす,すりつぶす
スタンプ,すたんぷ
ストッキング,すとっきんぐ
スキー,すきー
炭火,すみび
スニーカー,すにーかー
全て,すべて
スロープ,すろーぷ
スピリット,すぴりっと
スポンジ,すぽんじ
素肌,すはだ
スカイ,すかい
スノー,すのー
スリル,すりる
スポンジケーキ,すぽんじけーき
水槽,すいそう
すく,すく
末っ子,すえっこ
好き嫌い,すききらい
涼しい,すずしい
すすぐ,すすぐ
スタンド,すたんど
巣箱,すばこ
スティック,すてぃっく
勧め,すすめ
筋,すじ
ステッカー,すてっかー
スピード,すぴーど
する,する
