全長,ぜんちょう
全集,ぜんしゅう
税込み,ぜいこみ
絶妙,ぜつみょう
税額,ぜいがく
前日,ぜんじつ
全体,ぜんたい
全土,ぜんど
全力,ぜんりょく
前世,ぜんせい
全曲,ぜんきょく
銭,ぜに
全部,ぜんぶ
全日制,ぜんにちせい
絶対,ぜったい
絶対的,ぜったいてき
絶対値,ぜったいち
前者,ぜんしゃ
税務,ぜいむ
前回,ぜんかい
絶望的,ぜつぼうてき
全面的,ぜんめんてき
前列,ぜんれつ
絶滅,ぜつめつ
絶大,ぜつだい
絶景,ぜっけい
善意,ぜんい
前述,ぜんじゅつ
前提,ぜんてい
絶句,ぜっく
全国区,ぜんこくく
絶望,ぜつぼう
前作,ぜんさく
全焼,ぜんしょう
前夜,ぜんや
是非,ぜひ
是正,ぜせい
善悪,ぜんあく
前方,ぜんぽう
前後,ぜんご
ゼロ,ぜろ
前期,ぜんき
絶好,ぜっこう
税収,ぜいしゅう
ゼリー,ぜりー
前例,ぜんれい
税務署,ぜいむしょ
前略,ぜんりゃく
全域,ぜんいき
ぜん息,ぜんそく
税制,ぜいせい
税理士,ぜいりし
全般的,ぜんぱんてき
前途,ぜんと
前科,ぜんか
善良,ぜんりょう
全国,ぜんこく
全治,ぜんち
全額,ぜんがく
全容,ぜんよう
税,ぜい
全滅,ぜんめつ
ゼミ,ぜみ
税率,ぜいりつ
絶壁,ぜっぺき
ぜいたく,ぜいたく
