尊敬語,そんけいご
相互乗り入れ,そうごのりいれ
測量,そくりょう
創立,そうりつ
粗相,そそう
そろう,そろう
染め物,そめもの
僧侶,そうりょ
速球,そっきゅう
阻害,そがい
ソファー,そふぁー
それは,それは
送料,そうりょう
即死,そくし
装飾,そうしょく
葬式,そうしき
ソーダ,そーだ
空耳,そらみみ
阻止,そし
相場,そうば
ソフトボール,そふとぼーる
束縛,そくばく
そっくり,そっくり
僧,そう
早退,そうたい
壮大,そうだい
ソング,そんぐ
側,そば
総会,そうかい
祖母,そぼ
送付,そうふ
そる,そる
相続,そうぞく
素質,そしつ
そこら,そこら
袖口,そでぐち
双眼鏡,そうがんきょう
喪失,そうしつ
それぞれ,それぞれ
総裁,そうさい
送別,そうべつ
外,そと
祖父母,そふぼ
添える,そえる
損ねる,そこねる
遭遇,そうぐう
総括,そうかつ
損なう,そこなう
そばかす,そばかす
即売,そくばい
掃除機,そうじき
総称,そうしょう
速達,そくたつ
措置,そち
速度,そくど
尊敬,そんけい
総理,そうり
ソフト,そふと
即位,そくい
双方,そうほう
育て上げる,そだてあげる
添え物,そえもの
外面,そとづら
速報,そくほう
粗大,そだい
相当,そうとう
尊厳死,そんげんし
それなり,それなり
損する,そんする
即効,そっこう
染め上げる,そめあげる
損害,そんがい
装置,そうち
それ,それ
尊重,そんちょう
走行,そうこう
側室,そくしつ
損傷,そんしょう
総選挙,そうせんきょ
そろい,そろい
そこ,そこ
葬儀社,そうぎしゃ
染める,そめる
そり,そり
掃除,そうじ
創作,そうさく
疎通,そつう
即答,そくとう
そのほか,そのほか
育つ,そだつ
想定,そうてい
そいつ,そいつ
供え,そなえ
装備,そうび
総長,そうちょう
想像,そうぞう
そちら,そちら
底無し,そこなし
存在,そんざい
背く,そむく
園,その
相応,そうおう
即効性,そっこうせい
総出,そうで
それる,それる
騒動,そうどう
即座,そくざ
ソロ,そろ
素材,そざい
早期,そうき
総合,そうごう
創業,そうぎょう
倉庫,そうこ
ソーセージ,そーせーじ
相対的,そうたいてき
総数,そうすう
損失,そんしつ
素朴,そぼく
双生児,そうせいじ
祖父,そふ
訴訟,そしょう
素振り,そぶり
相続税,そうぞくぜい
備え付け,そなえつけ
ソックス,そっくす
外側,そとがわ
総務,そうむ
存続,そんぞく
操縦,そうじゅう
率直,そっちょく
走者,そうしゃ
挿入,そうにゅう
送風,そうふう
そのまま,そのまま
送迎,そうげい
狙撃,そげき
即決,そっけつ
育てる,そだてる
其の物,そのもの
染め,そめ
ソムリエ,そむりえ
注ぐ,そそぐ
祖国,そこく
供え物,そなえもの
空,そら
ソテー,そてー
そろえる,そろえる
総額,そうがく
そもそも,そもそも
ソプラノ,そぷらの
相違,そうい
そのころ,そのころ
即興,そっきょう
装着,そうちゃく
送球,そうきゅう
備わる,そなわる
ソフトウェア,そふとうぇあ
ソウル,そうる
染まる,そまる
即席,そくせき
粗末,そまつ
想像力,そうぞうりょく
測定,そくてい
卒業,そつぎょう
相互,そうご
損得,そんとく
外回り,そとまわり
そらす,そらす
備える,そなえる
組織,そしき
空豆,そらまめ
ソース,そーす
創設,そうせつ
即時,そくじ
葬儀,そうぎ
袖,そで
操作,そうさ
