多数決,たすうけつ
大河,たいが
大衆的,たいしゅうてき
立ち寄る,たちよる
滞在,たいざい
短冊,たんざく
たまる,たまる
垂れ,たれ
タグ,たぐ
単独,たんどく
立ち食い,たちぐい
建て売り,たてうり
頼もしい,たのもしい
携わる,たずさわる
束,たば
誕生日,たんじょうひ
耐熱,たいねつ
試し,ためし
タイツ,たいつ
断ち切る,たちきる
単調,たんちょう
高跳び,たかとび
太陽暦,たいようれき
足る,たる
旅立ち,たびだち
立てる,たてる
体重,たいじゅう
タイミング,たいみんぐ
旅館,たびやかた
炊き込む,たきこむ
大木,たいぼく
食べ物,たべもの
楽しむ,たのしむ
たたき,たたき
短期大学,たんきだいがく
タフ,たふ
畳,たたみ
宝物,たからもの
他者,たしゃ
たかる,たかる
たいまつ,たいまつ
絶え間,たえま
単発,たんぱつ
体型,たいけい
蓄える,たくわえる
種明かし,たねあかし
為,ため
足す,たす
宅,たく
立ち上がり,たちあがり
タンクトップ,たんくとっぷ
頼む,たのむ
タルト,たると
多発,たはつ
体罰,たいばつ
太陽系,たいようけい
薪,たきぎ
大別,たいべつ
倒れる,たおれる
高台,たかだい
対決,たいけつ
逮捕,たいほ
互い,たがい
立ち読み,たちよみ
大切,たいせつ
たたずむ,たたずむ
大衆化,たいしゅうか
ためらう,ためらう
戦い,たたかい
体系的,たいけいてき
達成,たっせい
短命,たんめい
高値,たかね
対立,たいりつ
楽しみ,たのしみ
食べ物屋,たべものや
担当,たんとう
堪能,たんのう
田植え,たうえ
他動詞,たどうし
建て替える,たてかえる
試す,ためす
宝,たから
多量,たりょう
民,たみ
タブー,たぶー
たんす,たんす
対照的,たいしょうてき
太刀,たち
大砲,たいほう
多彩,たさい
立つ,たつ
タイトル,たいとる
対比,たいひ
頼る,たよる
たるむ,たるむ
ターゲット,たーげっと
例え,たとえ
体制,たいせい
高い,たかい
体格,たいかく
多額,たがく
卵,たまご
体積,たいせき
貸与,たいよ
足りる,たりる
立ち退き,たちのき
助け合う,たすけあう
立ち会う,たちあう
多種,たしゅ
棚,たな
旅立つ,たびだつ
多忙,たぼう
鱈,たら
立ち止まる,たちどまる
足し,たし
タクシー,たくしー
太陽,たいよう
短距離,たんきょり
対する,たいする
退化,たいか
