ダイナマイト,だいなまいと
ダンサー,だんさー
断絶,だんぜつ
大仏,だいぶつ
大豆,だいず
第一印象,だいいちいんしょう
大多数,だいたすう
大々的,だいだいてき
だるい,だるい
だだっ広い,だだっぴろい
大名,だいみょう
出す,だす
大学寮,だいがくりょう
大好き,だいすき
だじゃれ,だじゃれ
妥協,だきょう
代役,だいやく
大学,だいがく
談話,だんわ
打楽器,だがっき
脱帽,だつぼう
団地,だんち
男尊女卑,だんそんじょひ
脱退,だったい
だ液,だえき
ダイジェスト,だいじぇすと
大工,だいく
大の字,だいのじ
ダンプ,だんぷ
脱会,だっかい
だいごみ,だいごみ
脱水,だっすい
だらしない,だらしない
脱臭,だっしゅう
ダンディー,だんでぃー
大事,だいじ
段差,だんさ
黙り込む,だまりこむ
題材,だいざい
ダウンジャケット,だうんじゃけっと
大丈夫,だいじょうぶ
大統領,だいとうりょう
だぶつく,だぶつく
弾圧,だんあつ
脱落,だつらく
大体,だいたい
脱毛,だつもう
だに,だに
ダイビング,だいびんぐ
団長,だんちょう
抱き抱える,だきかかえる
だるま,だるま
代行,だいこう
男女,だんじょ
脱衣,だつい
ダンスパーティー,だんすぱーてぃー
大王,だいおう
大理石,だいりせき
打数,だすう
だらだら,だらだら
誰々,だれだれ
台帳,だいちょう
団体,だんたい
大学生,だいがくせい
男優,だんゆう
ダイエット,だいえっと
大都市,だいとし
誰,だれ
題目,だいもく
ダーク,だーく
代表的,だいひょうてき
妥当,だとう
台無し,だいなし
出し合う,だしあう
ダビング,だびんぐ
ダメージ,だめーじ
抱っこ,だっこ
大の,だいの
大地,だいち
段取り,だんどり
大規模,だいきぼ
惰性,だせい
ダブルプレー,だぶるぷれー
段階,だんかい
ダッシュ,だっしゅ
打者,だしゃ
団子,だんご
抱き合う,だきあう
出し入れ,だしいれ
代議士,だいぎし
打撲,だぼく
脱走,だっそう
抱き締める,だきしめる
ダブル,だぶる
男性,だんせい
ダイレクト,だいれくと
黙る,だまる
大卒,だいそつ
だます,だます
暖房,だんぼう
堕落,だらく
断水,だんすい
ダイヤル,だいやる
ダイニング,だいにんぐ
第一,だいいち
代表,だいひょう
代用,だいよう
出し,だし
断層,だんそう
ダイヤモンド,だいやもんど
団結,だんけつ
打撃,だげき
代名詞,だいめいし
抱く,だく
断熱,だんねつ
ダイバー,だいばー
大小,だいしょう
男子,だんし
ダンス,だんす
第三者,だいさんしゃ
代理,だいり
大企業,だいきぎょう
駄目,だめ
台所,だいどころ
駄作,ださく
男児,だんじ
ダウト,だうと
打率,だりつ
脱出,だっしゅつ
談合,だんごう
段落,だんらく
ダイブ,だいぶ
脱色,だっしょく
断崖,だんがい
だれか,だれか
打球,だきゅう
大家族,だいかぞく
ダウンロード,だうんろーど
代々,だいだい
大震災,だいしんさい
打破,だは
抱き上げる,だきあげる
だんな,だんな
題名,だいめい
黙りこくる,だまりこくる
代表作,だいひょうさく
脱税,だつぜい
大嫌い,だいきらい
代打,だいだ
大吉,だいきち
男性的,だんせいてき
ダブルス,だぶるす
断片的,だんぺんてき
台,だい
打席,だせき
断定,だんてい
大都会,だいとかい
ダイナミック,だいなみっく
ダンベル,だんべる
蛇足,だそく
