電圧,でんあつ
伝授,でんじゅ
出来事,できごと
デニム,でにむ
デザート,でざーと
電車,でんしゃ
出回る,でまわる
出掛ける,でかける
伝票,でんぴょう
出直す,でなおす
出来る,できる
電極,でんきょく
出来上がる,できあがる
ディスプレー,でぃすぷれー
電気洗濯機,でんきせんたくき
ＤＭ,でぃーえむ
デパート,でぱーと
デラックス,でらっくす
デザイナー,でざいなー
デビュー,でびゅー
ディレクター,でぃれくたー
出前,でまえ
電気スタンド,でんきすたんど
ディスカウント,でぃすかうんと
電気,でんき
ディーゼル車,でぃーぜるしゃ
伝来,でんらい
泥水,でいすい
電力,でんりょく
ディスク,でぃすく
デメリット,でめりっと
でかい,でかい
デスク,ですく
デマ,でま
でぶ,でぶ
出っ張る,でっぱる
出迎える,でむかえる
弟子,でし
電話局,でんわきょく
デッキ,でっき
出る,でる
出来上がり,できあがり
ＤＪ,でぃーじぇー
ディテール,でぃてーる
伝承,でんしょう
出しゃばる,でしゃばる
伝統,でんとう
電子レンジ,でんしれんじ
出会い,であい
出会う,であう
電話番号,でんわばんごう
電柱,でんちゅう
デモ,でも
デジタル化,でじたるか
伝染病,でんせんびょう
ディナー,でぃなー
伝達,でんたつ
電報,でんぽう
デッドヒート,でっどひーと
デビル,でびる
電鉄,でんてつ
出稼ぎ,でかせぎ
デジタル信号,でじたるしんごう
凸凹,でこぼこ
電話,でんわ
デジタルカメラ,でじたるかめら
デジタル,でじたる
デジカメ,でじかめ
出口,でぐち
出迎え,でむかえ
ディスコ,でぃすこ
電子顕微鏡,でんしけんびきょう
田楽,でんがく
デリケート,でりけーと
電池,でんち
電撃,でんげき
出入り,でいり
電話機,でんわき
電気器具,でんききぐ
出先,でさき
電球,でんきゅう
ディーラー,でぃーらー
デュエット,でゅえっと
出来,でき
出入り口,でいりくち
でたらめ,でたらめ
電波,でんぱ
デート,でーと
データ,でーた
ディフェンス,でぃふぇんす
電流,でんりゅう
出窓,でまど
電動,でんどう
電化,でんか
出向く,でむく
電卓,でんたく
出来高,できだか
伝説,でんせつ
デフレ,でふれ
電磁波,でんじは
