年寄り,としより
渡米,とべい
取り囲む,とりかこむ
通り,とおり
盗塁,とうるい
年上,としうえ
到来,とうらい
十,とお
突発,とっぱつ
東南アジア,とうなんあじあ
床の間,とこのま
途切れる,とぎれる
トーナメント,とーなめんと
とどめる,とどめる
年子,としご
飛び越える,とびこえる
富む,とむ
トリプル,とりぷる
トレー,とれー
取る,とる
とうもろこし,とうもろこし
取り去る,とりさる
トリートメント,とりーとめんと
飛び出し,とびだし
トラップ,とらっぷ
富,とみ
得策,とくさく
飛び付く,とびつく
当日,とうじつ
ときめき,ときめき
戸口,とぐち
とどまる,とどまる
取り下げる,とりさげる
トランク,とらんく
届ける,とどける
統合,とうごう
滞る,とどこおる
途絶える,とだえる
取り扱い,とりあつかい
飛び回る,とびまわる
投資,とうし
取れる,とれる
特許,とっきょ
扉,とびら
糖尿,とうにょう
年頃,としごろ
徳利,とっくり
都内,とない
通り抜ける,とおりぬける
問い,とい
飛び降りる,とびおりる
特筆,とくひつ
党首,とうしゅ
隣,となり
投ずる,とうずる
倒壊,とうかい
都知事,とちじ
取り消す,とりけす
時,とき
取り皿,とりざら
都営,とえい
途上国,とじょうこく
尊ぶ,とうとぶ
時に,ときに
とんぼ,とんぼ
飛び起きる,とびおきる
鳥肌,とりはだ
飛び切り,とびきり
遂げる,とげる
整う,ととのう
トマト,とまと
特集,とくしゅう
特性,とくせい
登録商標,とうろくしょうひょう
飛ばす,とばす
土地柄,とちがら
途方,とほう
頭髪,とうはつ
年月,としつき
灯油,とうゆ
峠,とうげ
取り違える,とりちがえる
年の暮れ,としのくれ
取り締まる,とりしまる
泊まり,とまり
登頂,とうちょう
年下,としした
陶磁器,とうじき
特別,とくべつ
到着,とうちゃく
取り戻す,とりもどす
途上,とじょう
問屋,とんや
飛び出す,とびだす
豆乳,とうにゅう
トライ,とらい
取り付ける,とりつける
戸惑う,とまどう
嫁ぐ,とつぐ
通り過ぎる,とおりすぎる
塗料,とりょう
特約,とくやく
飛び立つ,とびたつ
特殊,とくしゅ
止まる,とまる
取り除く,とりのぞく
取っ手,とって
遠吠え,とおぼえ
問い合わせ,といあわせ
通り掛かる,とおりかかる
東洋,とうよう
取り引き,とりひき
当時,とうじ
止め,とめ
とがめる,とがめる
統制,とうせい
解き放す,ときはなす
特徴,とくちょう
トラブル,とらぶる
糖尿病,とうにょうびょう
取り壊す,とりこわす
トイレット,といれっと
戸惑い,とまどい
特有,とくゆう
年老いる,としおいる
溶ける,とける
問い掛ける,といかける
所,ところ
東部,とうぶ
トータル,とーたる
取りやめる,とりやめる
取りそろえる,とりそろえる
時計台,とけいだい
虎,とら
トリック,とりっく
トースター,とーすたー
とろい,とろい
投石,とうせき
取り計らう,とりはからう
東北,とうほく
とっさ,とっさ
搭乗,とうじょう
投票,とうひょう
トンネル,とんねる
逃走,とうそう
東西,とうざい
共稼ぎ,ともかせぎ
豆腐,とうふ
隣り合う,となりあう
飛び越す,とびこす
とろろ,とろろ
塗装,とそう
突破,とっぱ
取り決める,とりきめる
徒競走,ときょうそう
通る,とおる
取り出す,とりだす
トピック,とぴっく
飛び上がる,とびあがる
土地,とち
飛び出る,とびでる
豚汁,とんじる
通り越す,とおりこす
ときめく,ときめく
届く,とどく
鳥,とり
特価,とっか
東北地方,とうほくちほう
取り付く,とりつく
トースト,とーすと
問い返す,といかえす
特色,とくしょく
トイレットペーパー,といれっとぺーぱー
遠目,とおめ
トレード,とれーど
問い合わせる,といあわせる
登校,とうこう
当地,とうち
東方,とうほう
トイレ,といれ
盗賊,とうぞく
突入,とつにゅう
年,とし
トランペット,とらんぺっと
トロフィー,とろふぃー
特撮,とくさつ
取り締まり,とりしまり
トラック,とらっく
伴う,ともなう
都庁,とちょう
取り上げる,とりあげる
特攻,とっこう
取り消し,とりけし
突発的,とっぱつてき
飛び入り,とびいり
突風,とっぷう
東海道,とうかいどう
鳥居,とりい
吐息,といき
匿名,とくめい
とげ,とげ
取り仕切る,とりしきる
当局,とうきょく
取り返し,とりかえし
取り扱う,とりあつかう
トリオ,とりお
飛び散る,とびちる
飛び乗る,とびのる
盗作,とうさく
搭載,とうさい
遠回し,とおまわし
投球,とうきゅう
登録,とうろく
友,とも
トランクス,とらんくす
取り立て,とりたて
届け出る,とどけでる
統一,とういつ
図書,としょ
逃亡,とうぼう
尊い,とうとい
通り掛かり,とおりがかり
特技,とくぎ
取り巻く,とりまく
執り行う,とりおこなう
遠ざかる,とおざかる
討議,とうぎ
取り外し,とりはずし
遠回り,とおまわり
共働き,ともばたらき
豚カツ,とんかつ
得意,とくい
都立,とりつ
取り組む,とりくむ
捕らわれる,とらわれる
特売,とくばい
溶かす,とかす
徒歩,とほ
特急,とっきゅう
十日,とおか
友達,ともだち
当社,とうしゃ
飛び込む,とびこむ
特定,とくてい
トランジスタ,とらんじすた
冬季,とうき
溶く,とく
当惑,とうわく
問う,とう
止める,とめる
遠ざける,とおざける
突起,とっき
溶け込む,とけこむ
取り替える,とりかえる
年取る,としとる
取り合い,とりあい
閉ざす,とざす
届け出,とどけで
トレーナー,とれーなー
凍結,とうけつ
年越し,としこし
取り調べ,とりしらべ
途中,とちゅう
とりこ,とりこ
取り入れる,とりいれる
捉える,とらえる
特殊性,とくしゅせい
取って置き,とっておき
逃避,とうひ
取り決め,とりきめ
トレーラー,とれーらー
取り寄せる,とりよせる
閉じ込める,とじこめる
都会,とかい
乏しい,とぼしい
飛び込み,とびこみ
トレーニング,とれーにんぐ
都市国家,としこっか
到達,とうたつ
特効薬,とっこうやく
灯台,とうだい
トルネード,とるねーど
取り残す,とりのこす
とっちめる,とっちめる
遠く,とおく
通り抜け,とおりぬけ
取り合う,とりあう
投下,とうか
