動ずる,どうずる
どら焼き,どらやき
動力,どうりょく
同額,どうがく
土鍋,どなべ
どれ,どれ
貪欲,どんよく
どこ,どこ
毒性,どくせい
どんより,どんより
毒ガス,どくがす
洞窟,どうくつ
ドレッシング,どれっしんぐ
ドライヤー,どらいやー
土足,どそく
道具,どうぐ
毒舌,どくぜつ
ドレス,どれす
同期,どうき
ドーピング,どーぴんぐ
ドラマチック,どらまちっく
ドア,どあ
度数,どすう
ドーナツ,どーなつ
土俵,どひょう
同等,どうとう
同類,どうるい
ドラム,どらむ
読書,どくしょ
独自,どくじ
どなた,どなた
どんでん返し,どんでんがえし
ドーム,どーむ
努力,どりょく
どきどき,どきどき
同窓会,どうそうかい
泥,どろ
どら息子,どらむすこ
同封,どうふう
胴長,どうなが
同意,どうい
土器,どき
独立,どくりつ
どさくさ,どさくさ
同族,どうぞく
独,どく
泥だらけ,どろだらけ
動作,どうさ
独走,どくそう
どける,どける
度胸,どきょう
同僚,どうりょう
度合い,どあい
ドリンク,どりんく
どこか,どこか
動脈,どうみゃく
同一,どういつ
銅像,どうぞう
ドリル,どりる
土台,どだい
泥棒,どろぼう
土砂,どしゃ
導入,どうにゅう
動物,どうぶつ
同調,どうちょう
読者,どくしゃ
土曜日,どようび
怒鳴る,どなる
ドレスアップ,どれすあっぷ
ドット,どっと
同時代,どうじだい
ドロー,どろー
ドキュメンタリー,どきゅめんたりー
動,どう
ドリア,どりあ
ドライバー,どらいば
同級生,どうきゅうせい
独学,どくがく
ドライバー,どらいばー
どろどろ,どろどろ
丼物,どんぶりもの
ドリブル,どりぶる
同化,どうか
独裁,どくさい
同質,どうしつ
動物性,どうぶつせい
ドライブ,どらいぶ
どこそこ,どこそこ
同日,どうじつ
銅メダル,どうめだる
どぎつい,どぎつい
同種,どうしゅ
土曜,どよう
度忘れ,どわすれ
独特,どくとく
道徳的,どうとくてき
同様,どうよう
読解,どっかい
同乗,どうじょう
道路,どうろ
ドライアイス,どらいあいす
どたばた,どたばた
土星,どせい
同窓,どうそう
同性愛,どうせいあい
丼,どんぶり
同居,どうきょ
土木,どぼく
どじ,どじ
ドラマ,どらま
同性,どうせい
奴隷,どれい
独創的,どくそうてき
動植物,どうしょくぶつ
ドック,どっく
同名,どうめい
ドッキング,どっきんぐ
動脈硬化,どうみゃくこうか
同業,どうぎょう
ドナー,どなー
動詞,どうし
ドロップ,どろっぷ
同行,どうこう
どちら,どちら
童話,どうわ
同級,どうきゅう
独立国,どくりつこく
土壌,どじょう
ドクター,どくたー
ドル,どる
道徳,どうとく
ドラフト,どらふと
同時,どうじ
