発掘,はっくつ
剥がす,はがす
はだし,はだし
花火,はなび
挟まる,はさまる
母,はは
はねる,はねる
白髪,はくはつ
早生まれ,はやうまれ
鼻毛,はなげ
箱入り,はこいり
ハンター,はんたー
ハイカラ,はいから
半径,はんけい
破局,はきょく
恥ずかしい,はずかしい
張り替える,はりかえる
反撃,はんげき
旗,はた
波長,はちょう
半数,はんすう
反対,はんたい
はね付ける,はねつける
拍手,はくしゅ
針金,はりがね
働かす,はたらかす
畑,はたけ
払い戻す,はらいもどす
母親,ははおや
話し込む,はなしこむ
払い戻し,はらいもどし
反応,はんのう
晴れ,はれ
はらむ,はらむ
破滅,はめつ
花畑,はなばたけ
葉書,はがき
発動,はつどう
鉢巻き,はちまき
葉巻,はまき
発芽,はつが
春雨,はるさめ
破棄,はき
白菜,はくさい
二十日,はつか
はにかみ,はにかみ
裸,はだか
遥か,はるか
配布,はいふ
華やか,はなやか
法被,はっぴ
ハードル,はーどる
ハヤシライス,はやしらいす
晴らす,はらす
はぜ,はぜ
剥奪,はくだつ
ハンドバッグ,はんどばっぐ
発着,はっちゃく
腹立たしい,はらだたしい
破壊,はかい
ハミング,はみんぐ
働き,はたらき
初めて,はじめて
灰皿,はいざら
歯ブラシ,はぶらし
販売,はんばい
反響,はんきょう
はかま,はかま
灰,はい
始める,はじめる
半壊,はんかい
ハイエナ,はいえな
白血病,はっけつびょう
排泄,はいせつ
はにかむ,はにかむ
始め,はじめ
浜,はま
反省,はんせい
花柄,はながら
入り込む,はいりこむ
華やぐ,はなやぐ
白色,はくしょく
範囲,はんい
蜂蜜,はちみつ
波及,はきゅう
励まし,はげまし
初耳,はつみみ
肌色,はだいろ
花盛り,はなざかり
歯止め,はどめ
判定,はんてい
ハードウェア,はーどうぇあ
排ガス,はいがす
果てる,はてる
反抗的,はんこうてき
はず,はず
初詣で,はつもうで
幅広い,はばひろい
花輪,はなわ
走り抜ける,はしりぬける
働き盛り,はたらきざかり
母方,ははかた
伯爵,はくしゃく
敗訴,はいそ
半日,はんにち
ハーフサイズ,はーふさいず
墓参り,はかまいり
ハムスター,はむすたー
半熟,はんじゅく
配役,はいやく
繁殖,はんしょく
吐き気,はきけ
発達,はったつ
八,はち
廃校,はいこう
箱,はこ
剥ぐ,はぐ
肌荒れ,はだあれ
羽織,はおり
はらわた,はらわた
はやり,はやり
反動,はんどう
拝借,はいしゃく
晴れ上がる,はれあがる
はやる,はやる
はじき出す,はじきだす
ハッカー,はっかー
背後,はいご
発売,はつばい
ハイテク,はいてく
犯罪,はんざい
発行,はっこう
二十歳,はたち
ハッピーエンド,はっぴーえんど
博覧会,はくらんかい
働き掛ける,はたらきかける
話し掛ける,はなしかける
箸,はし
はびこる,はびこる
腹立つ,はらだつ
履く,はく
判事,はんじ
ハンデ,はんで
鼻血,はなぢ
ハイビスカス,はいびすかす
履物,はきもの
肺活量,はいかつりょう
肌着,はだぎ
腹,はら
発表,はっぴょう
母の日,ははのひ
働き者,はたらきもの
配慮,はいりょ
果たす,はたす
はと,はと
八月,はちがつ
鉢植え,はちうえ
迫力,はくりょく
腹の中,はらのなか
早変わり,はやがわり
箸置き,はしおき
半人前,はんにんまえ
はさみ,はさみ
反復,はんぷく
外す,はずす
排除,はいじょ
波動,はどう
配置,はいち
はっきり,はっきり
ハンド,はんど
ハンティング,はんてぃんぐ
はじける,はじける
早く,はやく
肌寒い,はださむい
初恋,はつこい
走り回る,はしりまわる
はいはい,はいはい
肌,はだ
羽目,はめ
排気ガス,はいきがす
張り付ける,はりつける
歯車,はぐるま
配偶者,はいぐうしゃ
早め,はやめ
羽子板,はごいた
始まり,はじまり
はまる,はまる
はやぶさ,はやぶさ
腹立ち,はらだち
はう,はう
歯磨き,はみがき
敗退,はいたい
弾む,はずむ
発車,はっしゃ
ハイウエー,はいうえー
俳句,はいく
ハンカチ,はんかち
春休み,はるやすみ
配合,はいごう
半年,はんとし
発揮,はっき
羽織る,はおる
発電所,はつでんしょ
腹巻き,はらまき
話し合う,はなしあう
反映,はんえい
発熱,はつねつ
発注,はっちゅう
半島,はんとう
剥げる,はげる
橋渡し,はしわたし
排斥,はいせき
華々しい,はなばなしい
育む,はぐくむ
歯医者,はいしゃ
配達,はいたつ
破裂,はれつ
放つ,はなつ
反抗,はんこう
恥,はじ
派閥,はばつ
はかり,はかり
挟む,はさむ
吐き出す,はきだす
跳ね返す,はねかえす
早寝,はやね
張り切る,はりきる
はえ,はえ
激しい,はげしい
はめる,はめる
ハングリー,はんぐりー
墓場,はかば
話し合い,はなしあい
羽根,はね
半角,はんかく
歯並び,はならび
春先,はるさき
白紙,はくし
発生,はっせい
はかどる,はかどる
はらはら,はらはら
箸休め,はしやすめ
走る,はしる
花嫁,はなよめ
はしご,はしご
反抗期,はんこうき
浜辺,はまべ
春,はる
半月,はんつき
派手,はで
離れる,はなれる
配偶,はいぐう
排水溝,はいすいこう
はっと,はっと
ハーブ,はーぶ
腫れ物,はれもの
測る,はかる
排気,はいき
把握,はあく
配色,はいしょく
張り巡らす,はりめぐらす
花束,はなたば
ハイヒール,はいひーる
励ます,はげます
