被写体,ひしゃたい
独り暮らし,ひとりぐらし
悲劇,ひげき
左利き,ひだりきき
日づけ,ひづけ
日より,ひより
引っ越し,ひっこし
ヒッチハイク,ひっちはいく
冷や,ひや
ひどい,ひどい
響く,ひびく
日傘,ひがさ
頻発,ひんぱつ
引き,ひき
被告,ひこく
人里,ひとざと
東向き,ひがしむき
広がり,ひろがり
昼下がり,ひるさがり
平たい,ひらたい
光る,ひかる
引き離す,ひきはなす
引き渡し,ひきわたし
被害者,ひがいしゃ
ひそか,ひそか
表示,ひょうじ
ひよこ,ひよこ
秘書,ひしょ
引き取る,ひきとる
肘,ひじ
飛行士,ひこうし
引き出し,ひきだし
引き締まる,ひきしまる
否決,ひけつ
人前,ひとまえ
引っこ抜く,ひっこぬく
ヒューマニズム,ひゅーまにずむ
標識,ひょうしき
ひつぎ,ひつぎ
膝枕,ひざまくら
一通り,ひととおり
引き受ける,ひきうける
貧血,ひんけつ
低め,ひくめ
飛躍,ひやく
冷やす,ひやす
ひこ星,ひこぼし
昼前,ひるまえ
肘掛け,ひじかけ
引き付ける,ひきつける
平べったい,ひらべったい
率いる,ひきいる
表紙,ひょうし
日の丸,ひのまる
引き渡す,ひきわたす
漂白,ひょうはく
独り立ち,ひとりだち
日焼け,ひやけ
引き上げ,ひきあげ
人込み,ひとごみ
東アジア,ひがしあじあ
東,ひがし
日陰,ひかげ
久々,ひさびさ
批評,ひひょう
ヒーター,ひーたー
左回り,ひだりまわり
引き取り,ひきとり
引き裂く,ひきさく
秘密,ひみつ
独り者,ひとりもの
品質管理,ひんしつかんり
一工夫,ひとくふう
ひっそり,ひっそり
百,ひゃく
一足,ひとあし
左足,ひだりあし
品名,ひんめい
筆頭,ひっとう
響き,ひびき
ひぼう,ひぼう
引き締める,ひきしめる
人質,ひとじち
一目,ひとめ
品種,ひんしゅ
引っ込み,ひっこみ
否定,ひてい
ヒューズ,ひゅーず
被害,ひがい
標的,ひょうてき
標語,ひょうご
独り歩き,ひとりあるき
浸す,ひたす
干物,ひもの
品格,ひんかく
引き続く,ひきつづく
非力,ひりき
批判的,ひはんてき
独り言,ひとりごと
火の玉,ひのたま
日帰り,ひがえり
一言,ひとこと
一息,ひといき
頻度,ひんど
ひな祭り,ひなまつり
比喩,ひゆ
一人,ひとり
引き分ける,ひきわける
皮膚,ひふ
表記,ひょうき
引っ掛かる,ひっかかる
引き込む,ひきこむ
被験者,ひけんしゃ
ひたむき,ひたむき
昼飯,ひるめし
比較,ひかく
必殺,ひっさつ
引っ込む,ひっこむ
引き抜く,ひきぬく
引き返す,ひきかえす
浸る,ひたる
飛脚,ひきゃく
表面化,ひょうめんか
一時,ひととき
引っ越す,ひっこす
引っ掻く,ひっかく
標準化,ひょうじゅんか
昼間,ひるま
左側,ひだりがわ
人柄,ひとがら
人見知り,ひとみしり
広まる,ひろまる
表情,ひょうじょう
引っ張る,ひっぱる
非常識,ひじょうしき
冷やっこ,ひややっこ
表札,ひょうさつ
人様,ひとさま
羊,ひつじ
引っ繰り返す,ひっくりかえす
潜む,ひそむ
漂着,ひょうちゃく
翻す,ひるがえす
標高,ひょうこう
一筋,ひとすじ
必須,ひっす
一つ,ひとつ
開き直る,ひらきなおる
左,ひだり
日照り,ひでり
人手,ひとで
非公開,ひこうかい
等しい,ひとしい
引き起こす,ひきおこす
匹敵,ひってき
光ファイバー,ひかりふぁいばー
品性,ひんせい
ひな人形,ひなにんぎょう
肥大,ひだい
控えめ,ひかえめ
久しい,ひさしい
冷える,ひえる
左手,ひだりて
日取り,ひどり
広々,ひろびろ
肥料,ひりょう
品質,ひんしつ
火の車,ひのくるま
低い,ひくい
人当たり,ひとあたり
評価,ひょうか
昼休み,ひるやすみ
表彰,ひょうしょう
日替わり,ひがわり
日の出,ひので
一休み,ひとやすみ
広がる,ひろがる
翻る,ひるがえる
