分数,ぶんすう
ブーム,ぶーむ
ぶくぶく,ぶくぶく
武器,ぶき
部位,ぶい
ブライダル,ぶらいだる
ぶつ,ぶつ
ブレーキ,ぶれーき
ぶつ切り,ぶつぎり
分別,ぶんべつ
物価,ぶっか
分析,ぶんせき
舞台,ぶたい
文化,ぶんか
文体,ぶんたい
ブラジャー,ぶらじゃー
ブース,ぶーす
袋,ぶくろ
部族,ぶぞく
武士,ぶし
ブルー,ぶるー
ブリッジ,ぶりっじ
物質,ぶっしつ
部下,ぶか
無礼講,ぶれいこう
ブティック,ぶてぃっく
部数,ぶすう
ぶち明ける,ぶちあける
文明開化,ぶんめいかいか
分泌,ぶんぴつ
豚肉,ぶたにく
無礼,ぶれい
分業,ぶんぎょう
ブラシ,ぶらし
無精ひげ,ぶしょうひげ
部落,ぶらく
分布,ぶんぷ
物理,ぶつり
ブラック,ぶらっく
分配,ぶんぱい
文章,ぶんしょう
分度器,ぶんどき
ブーケ,ぶーけ
部長,ぶちょう
文庫,ぶんこ
物流,ぶつりゅう
文芸,ぶんげい
歩合,ぶあい
ブリーフ,ぶりーふ
Ｖネック,ぶいねっく
振り,ぶり
ぶち込む,ぶちこむ
分量,ぶんりょう
分岐,ぶんき
部類,ぶるい
文集,ぶんしゅう
ブレンド,ぶれんど
文法,ぶんぽう
文学的,ぶんがくてき
物資,ぶっし
部署,ぶしょ
ブラックリスト,ぶらっくりすと
ぶら下げる,ぶらさげる
文房具,ぶんぼうぐ
ぶどう,ぶどう
無事,ぶじ
分裂,ぶんれつ
ブラインド,ぶらいんど
武術,ぶじゅつ
文通,ぶんつう
ブザー,ぶざー
ブラザー,ぶらざー
ぶるぶる,ぶるぶる
仏教,ぶっきょう
ブロー,ぶろー
文明,ぶんめい
武装,ぶそう
ブルース,ぶるーす
文化財,ぶんかざい
ブルドーザー,ぶるどーざー
文具,ぶんぐ
ブーツ,ぶーつ
ブランデー,ぶらんでー
ブレーカー,ぶれーかー
文中,ぶんちゅう
文学,ぶんがく
分解,ぶんかい
ぶら下がる,ぶらさがる
仏像,ぶつぞう
文書,ぶんしょ
文化的,ぶんかてき
武力,ぶりょく
文末,ぶんまつ
ブレーク,ぶれーく
部首,ぶしゅ
物理的,ぶつりてき
物質的,ぶっしつてき
分譲,ぶんじょう
ブレスレット,ぶれすれっと
ぶつける,ぶつける
分割,ぶんかつ
侮辱,ぶじょく
ブランク,ぶらんく
分野,ぶんや
ブラウス,ぶらうす
ぶらぶら,ぶらぶら
物理学,ぶつりがく
部分的,ぶぶんてき
ぶれる,ぶれる
ぶつかる,ぶつかる
武士道,ぶしどう
ぶつぶつ,ぶつぶつ
武家,ぶけ
分類,ぶんるい
分厚い,ぶあつい
物体,ぶったい
部活,ぶかつ
豚,ぶた
武将,ぶしょう
ＶＩＰ,ぶいあいぴー
不気味,ぶきみ
ブロッコリー,ぶろっこりー
文脈,ぶんみゃく
ブーイング,ぶーいんぐ
ＶＴＲ,ぶいてぃーあーる
ぶらんこ,ぶらんこ
ブランド,ぶらんど
ブレザー,ぶれざー
分離,ぶんり
分子,ぶんし
