変態,へんたい
ヘルシー,へるしー
偏差値,へんさち
平日,へいじつ
塀,へい
閉鎖,へいさ
ヘアスタイル,へあすたいる
返却,へんきゃく
編成,へんせい
ヘア,へあ
変異,へんい
返送,へんそう
へこむ,へこむ
下手くそ,へたくそ
変質,へんしつ
弊害,へいがい
ヘルパー,へるぱー
兵力,へいりょく
ヘアスプレー,へあすぷれー
変色,へんしょく
変容,へんよう
ヘリウム,へりうむ
ヘッドコーチ,へっどこーち
平常,へいじょう
兵士,へいし
編集,へんしゅう
変形,へんけい
並列,へいれつ
返済,へんさい
隔たり,へだたり
ヘクタール,へくたーる
ヘリ,へり
平野,へいや
平均値,へいきんち
編曲,へんきょく
変動,へんどう
へま,へま
変化,へんか
下手,へた
併合,へいごう
平和,へいわ
ヘッド,へっど
変更,へんこう
減る,へる
壁画,へきが
変化球,へんかきゅう
返答,へんとう
変革,へんかく
平成,へいせい
部屋割り,へやわり
蛇,へび
減らす,へらす
平和条約,へいわじょうやく
ヘッドライト,へっどらいと
陛下,へいか
部屋,へや
へとへと,へとへと
閉会,へいかい
変則,へんそく
併用,へいよう
へこみ,へこみ
平気,へいき
返事,へんじ
平均寿命,へいきんじゅみょう
ヘルメット,へるめっと
ヘリコプター,へりこぷたー
平行,へいこう
ヘビー級,へびーきゅう
へそ,へそ
隔てる,へだてる
へどろ,へどろ
平地,へいち
変貌,へんぼう
