保険料,ほけんりょう
ほとぼり,ほとぼり
本箱,ほんばこ
保証書,ほしょうしょ
包丁,ほうちょう
補給,ほきゅう
本意,ほんい
ほったらかす,ほったらかす
封建制度,ほうけんせいど
北西,ほくせい
ほぐれる,ほぐれる
ホック,ほっく
奔放,ほんぽう
保母,ほぼ
放送局,ほうそうきょく
北東,ほくとう
歩道橋,ほどうきょう
ほどける,ほどける
放置,ほうち
ほえる,ほえる
ホストファミリー,ほすとふぁみりー
ほどく,ほどく
放火,ほうか
掘り下げる,ほりさげる
本格,ほんかく
北海道,ほっかいどう
ホール,ほーる
保守,ほしゅ
本音,ほんね
本場,ほんば
本名,ほんみょう
奉仕,ほうし
報ずる,ほうずる
ホモ,ほも
本末転倒,ほんまつてんとう
本業,ほんぎょう
星,ほし
本気,ほんき
本州,ほんしゅう
保育所,ほいくしょ
骨折り,ほねおり
ほつれる,ほつれる
ホットコーヒー,ほっとこーひー
ホットプレート,ほっとぷれーと
本校,ほんこう
本屋,ほんや
掘る,ほる
放射,ほうしゃ
朗らか,ほがらか
細長い,ほそながい
邦画,ほうが
掘り起こす,ほりおこす
保育,ほいく
北上,ほくじょう
本質,ほんしつ
骨組み,ほねぐみ
ほれる,ほれる
本能,ほんのう
翻訳,ほんやく
歩行,ほこう
方向,ほうこう
補佐,ほさ
葬る,ほうむる
方,ほう
本性,ほんしょう
本能的,ほんのうてき
放射能,ほうしゃのう
ほっぺた,ほっぺた
褒美,ほうび
程遠い,ほどとおい
本質的,ほんしつてき
放る,ほうる
放流,ほうりゅう
保養,ほよう
ほのぼの,ほのぼの
本社,ほんしゃ
頬,ほお
滅びる,ほろびる
報告,ほうこく
保証,ほしょう
放り出す,ほうりだす
ホチキス,ほちきす
ほと,ほと
方程式,ほうていしき
保守的,ほしゅてき
本国,ほんごく
保持,ほじ
崩壊,ほうかい
訪日,ほうにち
ホイッスル,ほいっする
ホットケーキ,ほっとけーき
ホスト,ほすと
発足,ほっそく
ホルダー,ほるだー
ホイップ,ほいっぷ
本数,ほんすう
法王,ほうおう
ほとんど,ほとんど
細める,ほそめる
ホームレス,ほーむれす
歩行者,ほこうしゃ
豊富,ほうふ
飽和,ほうわ
ほっそり,ほっそり
補聴器,ほちょうき
歩道,ほどう
ホッケー,ほっけー
本物,ほんもの
ほくろ,ほくろ
北海,ほっかい
仏,ほとけ
歩行者天国,ほこうしゃてんごく
星空,ほしぞら
本題,ほんだい
細る,ほそる
ほほえましい,ほほえましい
放水,ほうすい
保有,ほゆう
ほのか,ほのか
法廷,ほうてい
星占い,ほしうらない
ほぐす,ほぐす
洞,ほら
ほとり,ほとり
放送,ほうそう
本日,ほんじつ
報道,ほうどう
ほこり,ほこり
ほれ込む,ほれこむ
骨,ほね
方法,ほうほう
法務,ほうむ
発作的,ほっさてき
放り込む,ほうりこむ
補足,ほそく
捕鯨,ほげい
ほうき,ほうき
本塁打,ほんるいだ
本当,ほんとう
堀,ほり
法律,ほうりつ
ホリデー,ほりでー
程,ほど
ホイル,ほいる
北方,ほっぽう
ホワイト,ほわいと
保湿,ほしつ
北緯,ほくい
滅ぼす,ほろぼす
本紙,ほんし
他,ほか
ホテル,ほてる
方角,ほうがく
方位,ほうい
滅ぶ,ほろぶ
本家,ほんけ
細目,ほそめ
法事,ほうじ
報じる,ほうじる
法律学,ほうりつがく
干す,ほす
発作,ほっさ
本棚,ほんだな
保護,ほご
方々,ほうぼう
法則,ほうそく
本塁,ほんるい
方式,ほうしき
補助,ほじょ
ホット,ほっと
炎,ほのお
細い,ほそい
封建社会,ほうけんしゃかい
欲しい,ほしい
北極,ほっきょく
訪問販売,ほうもんはんばい
ほほえむ,ほほえむ
ホステス,ほすてす
捕獲,ほかく
保険証,ほけんしょう
本格的,ほんかくてき
法務省,ほうむしょう
奉納,ほうのう
歩調,ほちょう
放牧,ほうぼく
舗装,ほそう
放出,ほうしゅつ
報復,ほうふく
本部,ほんぶ
掘り出す,ほりだす
仏様,ほとけさま
保釈,ほしゃく
補充,ほじゅう
宝石,ほうせき
本体,ほんたい
褒める,ほめる
報酬,ほうしゅう
補習,ほしゅう
保護者,ほごしゃ
法令,ほうれい
本格化,ほんかくか
本拠,ほんきょ
細身,ほそみ
ほうれん草,ほうれんそう
補強,ほきょう
包帯,ほうたい
哺乳類,ほにゅうるい
施す,ほどこす
北部,ほくぶ
本籍,ほんせき
保留,ほりゅう
ホームステイ,ほーむすてい
放課後,ほうかご
誇る,ほこる
放映,ほうえい
ほったらかし,ほったらかし
法的,ほうてき
法律事務所,ほうりつじむしょ
欲する,ほっする
封建的,ほうけんてき
豊作,ほうさく
包括,ほうかつ
本職,ほんしょく
本土,ほんど
宝庫,ほうこ
補正,ほせい
ほんのり,ほんのり
ホームシック,ほーむしっく
本来,ほんらい
抱擁,ほうよう
