真っ先,まっさき
マスメディア,ますめでぃあ
前足,まえあし
末尾,まつび
参る,まいる
町中,まちなか
間違える,まちがえる
慢性,まんせい
迷子,まいご
まごつく,まごつく
前向き,まえむき
勝る,まさる
待つ,まつ
まずい,まずい
枕,まくら
まとまる,まとまる
守り神,まもりがみ
またぐ,またぐ
真心,まごころ
マニキュア,まにきゅあ
迷い,まよい
祭る,まつる
負け犬,まけいぬ
幕開け,まくあけ
豆,まめ
マヨネーズ,まよねーず
真っ黒,まっくろ
幕内,まくうち
魔性,ましょう
麻薬,まやく
マスター,ますたー
まんじゅう,まんじゅう
混じる,まじる
抹消,まっしょう
満腹,まんぷく
窓口,まどぐち
マスカラ,ますから
まぐろ,まぐろ
マジック,まじっく
まとも,まとも
マーケット,まーけっと
待ち焦がれる,まちこがれる
参り,まいり
真夏,まなつ
万引き,まんびき
丸み,まるみ
舞,まい
毎月,まいつき
満喫,まんきつ
マッシュルーム,まっしゅるーむ
満開,まんかい
まっすぐ,まっすぐ
股下,またした
末期,まっき
守り,まもり
紛れる,まぎれる
マリネ,まりね
巻き添え,まきぞえ
真夜中,まよなか
招き,まねき
万が一,まんがいち
ますます,ますます
交わる,まじわる
丸い,まるい
真上,まうえ
まね,まね
摩擦,まさつ
マネージメント,まねーじめんと
惑わす,まどわす
紛れ,まぎれ
巻く,まく
幻,まぼろし
学ぶ,まなぶ
毎週,まいしゅう
マダム,まだむ
漫画,まんが
曲がり,まがり
まか不思議,まかふしぎ
紛らわしい,まぎらわしい
賄う,まかなう
間抜け,まぬけ
紛れ込む,まぎれこむ
巻き起こす,まきおこす
マスコット,ますこっと
満席,まんせき
万年筆,まんねんひつ
間に合う,まにあう
満杯,まんぱい
貧しい,まずしい
間近,まぢか
枚数,まいすう
抹茶,まっちゃ
丸っこい,まるっこい
毎回,まいかい
待ち合わせ,まちあわせ
まじめ,まじめ
曲がる,まがる
マスコミ,ますこみ
まとめ,まとめ
まぶた,まぶた
孫の手,まごのて
真っ二つ,まっぷたつ
迷う,まよう
真冬,まふゆ
待ち遠しい,まちどおしい
真っ赤,まっか
マフィア,まふぃあ
前置き,まえおき
マットレス,まっとれす
まくる,まくる
マイク,まいく
巻き込む,まきこむ
末日,まつじつ
曲げる,まげる
毎度,まいど
マフラー,まふらー
マグニチュード,まぐにちゅーど
真っ青,まっさお
前売り,まえうり
町,まち
マーマレード,まーまれーど
満載,まんさい
真ん丸,まんまる
マスト,ますと
増し,まし
回す,まわす
マスカット,ますかっと
麻酔,ますい
瞬く,またたく
正夢,まさゆめ
真っ白い,まっしろい
マット,まっと
真新しい,まあたらしい
回り道,まわりみち
丸見え,まるみえ
まひ,まひ
まゆ毛,まゆげ
学び,まなび
まずまず,まずまず
毎日,まいにち
丸める,まるめる
回し,まわし
魔界,まかい
マンネリ,まんねり
真っ暗闇,まっくらやみ
負ける,まける
マニアック,まにあっく
マシュマロ,ましゅまろ
守る,まもる
マンホール,まんほーる
マーチ,まーち
任せる,まかせる
マーク,まーく
魔物,まもの
満月,まんげつ
まさか,まさか
マスク,ますく
万一,まんいち
ママ,まま
増す,ます
的外れ,まとはずれ
窓ガラス,まどがらす
毎朝,まいあさ
周り,まわり
まなざし,まなざし
マイカー,まいかー
巻き上げる,まきあげる
マカロニ,まかろに
丸出し,まるだし
毎年,まいとし
マンゴー,まんごー
マネージャー,まねーじゃー
またがる,またがる
間取り,まどり
真っ暗,まっくら
間違う,まちがう
間際,まぎわ
まゆ,まゆ
魔球,まきゅう
マナー,まなー
まないた,まないた
魔女,まじょ
前歯,まえば
真っ黒い,まっくろい
マニュアル,まにゅある
魔よけ,まよけ
待ち受ける,まちうける
間違い,まちがい
混ざる,まざる
マウス,まうす
魔法,まほう
前払い,まえばらい
真ん中,まんなか
交える,まじえる
負け越す,まけこす
丸太,まるた
まこと,まこと
祭り,まつり
真だい,まだい
交わり,まじわり
回る,まわる
漫才,まんざい
マイナー,まいなー
万病,まんびょう
丸まる,まるまる
マニア,まにあ
毎食,まいしょく
満塁,まんるい
まぶしい,まぶしい
前髪,まえがみ
交ぜる,まぜる
真っ白,まっしろ
マーケティング,まーけてぃんぐ
満足,まんぞく
マスタード,ますたーど
魔王,まおう
マイペース,まいぺーす
真水,まみず
股,また
待ち構える,まちかまえる
まっとう,まっとう
窓,まど
マイクロ,まいくろ
マイナス,まいなす
窓際,まどぎわ
まれ,まれ
的,まと
埋没,まいぼつ
曲がり角,まがりかど
まぶす,まぶす
任す,まかす
毎秒,まいびょう
まとめる,まとめる
負け,まけ
孫,まご
まみれる,まみれる
まあまあ,まあまあ
招き猫,まねきねこ
埋葬,まいそう
窓枠,まどわく
舞う,まう
まちまち,まちまち
招く,まねく
まねる,まねる
待ち合わせる,まちあわせる
万葉集,まんようしゅう
窓越し,まどごし
マウスピース,まうすぴーす
町並み,まちなみ
まろやか,まろやか
マインド,まいんど
マリア,まりあ
マッサージ,まっさーじ
マイルド,まいるど
巻き,まき
舞い上がる,まいあがる
免れる,まぬがれる
真っ向,まっこう
前々,まえまえ
抹殺,まっさつ
まま母,ままはは
満期,まんき
