目覚める,めざめる
目覚まし時計,めざましどけい
免許証,めんきょしょう
名義,めいぎ
目頭,めがしら
目まぐるしい,めまぐるしい
名声,めいせい
目白,めじろ
めい,めい
面積,めんせき
メモリー,めもりー
メートル,めーとる
目覚ましい,めざましい
メトロ,めとろ
めがね,めがね
面識,めんしき
免状,めんじょう
命令形,めいれいけい
芽生える,めばえる
恵み,めぐみ
メトロノーム,めとろのーむ
メタリック,めたりっく
目当て,めあて
面倒臭い,めんどうくさい
メンテナンス,めんてなんす
巡らす,めぐらす
メーター,めーたー
名物,めいぶつ
メダル,めだる
名所,めいしょ
めでたい,めでたい
名詞,めいし
明細,めいさい
女神,めがみ
名簿,めいぼ
目指す,めざす
メカニック,めかにっく
滅多,めった
メッセージ,めっせーじ
明快,めいかい
目隠し,めかくし
目茶苦茶,めちゃくちゃ
巡り会う,めぐりあう
明りょう,めいりょう
目立つ,めだつ
目処,めど
明治,めいじ
明確,めいかく
名目,めいもく
免職,めんしょく
綿密,めんみつ
メンチカツ,めんちかつ
目印,めじるし
珍しい,めずらしい
目覚まし,めざまし
免税,めんぜい
目尻,めじり
免罪,めんざい
メダリスト,めだりすと
目の玉,めのたま
目盛り,めもり
メモリアル,めもりある
面する,めんする
召し使い,めしつかい
麺類,めんるい
メンツ,めんつ
命ずる,めいずる
目付き,めつき
巡り,めぐり
メタル,めたる
面会,めんかい
メープルシロップ,めーぷるしろっぷ
メニュー,めにゅー
目分量,めぶんりょう
名称,めいしょう
めっき,めっき
名作,めいさく
めげる,めげる
面接,めんせつ
目茶目茶,めちゃめちゃ
名誉,めいよ
恵まれる,めぐまれる
冥王星,めいおうせい
綿棒,めんぼう
目玉,めだま
面倒,めんどう
召し上がる,めしあがる
メカ,めか
名曲,めいきょく
雌,めす
目安,めやす
目先,めさき
迷惑,めいわく
免許,めんきょ
メディア,めでぃあ
巡る,めぐる
メーカー,めーかー
飯,めし
目上,めうえ
免除,めんじょ
目薬,めぐすり
命名,めいめい
目障り,めざわり
メロディー,めろでぃー
明治時代,めいじじだい
命日,めいにち
めおと,めおと
命令,めいれい
銘柄,めいがら
メモ,めも
めまい,めまい
メンバー,めんばー
冥福,めいふく
明記,めいき
目下,めした
免疫,めんえき
メリット,めりっと
滅亡,めつぼう
目の前,めのまえ
明白,めいはく
目覚め,めざめ
メッセンジャー,めっせんじゃー
めくる,めくる
メカニズム,めかにずむ
