薬剤師,やくざいし
やりがい,やりがい
やせる,やせる
やけど,やけど
闇,やみ
山分け,やまわけ
やつら,やつら
和らぐ,やわらぐ
薬学,やくがく
矢印,やじるし
休み休み,やすみやすみ
役柄,やくがら
宿屋,やどや
役立てる,やくだてる
役所,やくどころ
薬物,やくぶつ
休み,やすみ
病,やまい
やんちゃ,やんちゃ
山びこ,やまびこ
山奥,やまおく
山猫,やまねこ
薬草,やくそう
野生,やせい
野手,やしゅ
山盛り,やまもり
山並み,やまなみ
薬剤,やくざい
やつ,やつ
夜行列車,やこうれっしゃ
焼き払う,やきはらう
やばい,やばい
やむ,やむ
野鳥,やちょう
やめ,やめ
やる気,やるき
野暮ったい,やぼったい
焼き鳥,やきとり
優しい,やさしい
焼き付け,やきつけ
野菜,やさい
焼ける,やける
安い,やすい
軟らかい,やわらかい
矢先,やさき
約束,やくそく
山々,やまやま
破る,やぶる
安物,やすもの
敗れる,やぶれる
宿,やど
焼き上げる,やきあげる
役者,やくしゃ
夜食,やしょく
役立つ,やくだつ
焼きそば,やきそば
役場,やくば
野暮,やぼ
野郎,やろう
安上がり,やすあがり
やつれる,やつれる
夜景,やけい
やる,やる
やり,やり
焼き物,やきもの
焼き切る,やききる
野外,やがい
柳,やなぎ
役目,やくめ
やらかす,やらかす
山形,やまがた
山の手,やまのて
焼け跡,やけあと
焼肉,やきにく
役名,やくめい
焼き付ける,やきつける
休む,やすむ
焼く,やく
屋根裏,やねうら
安売り,やすうり
やかましい,やかましい
厄介,やっかい
養う,やしなう
やめる,やめる
役所,やくしょ
やたら,やたら
八百屋,やおや
安らぎ,やすらぎ
ややこしい,ややこしい
訳す,やくす
安め,やすめ
役割,やくわり
やに,やに
役職,やくしょく
山国,やまぐに
やっつける,やっつける
山登り,やまのぼり
山小屋,やまごや
山,やま
雇う,やとう
安値,やすね
ヤング,やんぐ
やくざ,やくざ
破く,やぶく
野球,やきゅう
柔らか,やわらか
休める,やすめる
屋敷,やしき
屋台,やたい
山ほど,やまほど
焼け,やけ
やすり,やすり
宿る,やどる
和らげる,やわらげる
ヤギ,やぎ
やし,やし
薬局,やっきょく
館,やかた
八百長,やおちょう
焼きもち,やきもち
山越え,やまごえ
やきもき,やきもき
安っぽい,やすっぽい
家主,やぬし
やりくり,やりくり
薬味,やくみ
山里,やまざと
屋根,やね
野次,やじ
夜行,やこう
山吹色,やまぶきいろ
八つ,やっつ
