ライフ,らいふ
落葉,らくよう
ラテン語,らてんご
ラード,らーど
ライト,らいと
ライブラリー,らいぶらりー
ラウンド,らうんど
楽天的,らくてんてき
ランナー,らんなー
落書き,らくがき
らっきょう,らっきょう
ラケット,らけっと
ラベル,らべる
楽勝,らくしょう
ライセンス,らいせんす
ラッキー,らっきー
落札,らくさつ
ライバル,らいばる
来日,らいにち
落葉樹,らくようじゅ
らっぱ,らっぱ
ライフル,らいふる
羅列,られつ
ライブ,らいぶ
乱暴,らんぼう
来世,らいせ
ラジオ,らじお
ランニング,らんにんぐ
乱用,らんよう
ライダー,らいだー
ラリー,らりー
ライブハウス,らいぶはうす
ランク,らんく
落語家,らくごか
来訪,らいほう
楽観的,らっかんてき
ラベンダー,らべんだー
落石,らくせき
拉致,らち
落語,らくご
ラジカセ,らじかせ
来週,らいしゅう
ラグビー,らぐびー
ラジオ体操,らじおたいそう
ランダム,らんだむ
ラッシュ,らっしゅ
卵黄,らんおう
ランドセル,らんどせる
落花生,らっかせい
ラウンジ,らうんじ
来月,らいげつ
乱闘,らんとう
落下,らっか
ラスト,らすと
ライス,らいす
ライフスタイル,らいふすたいる
来客,らいきゃく
ランドリー,らんどりー
ランキング,らんきんぐ
卵白,らんぱく
ランチ,らんち
卵巣,らんそう
楽,らく
