焦り,あせり
アール,あーる
明日,あした
あんこ,あんこ
あくび,あくび
アイス,あいす
青い,あおい
焦る,あせる
アルミ,あるみ
赤い,あかい
足場,あしば
小豆,あずき
挙げ句,あげく
明かり,あかり
あなた,あなた
暗記,あんき
あおる,あおる
洗う,あらう
厚み,あつみ
油,あぶら
厚手,あつで
アロハ,あろは
値,あたい
上がり,あがり
あひる,あひる
歩く,ありく
哀れ,あわれ
アンプ,あんぷ
新た,あらた
愛想,あいそ
悪夢,あくむ
あかし,あかし
悪事,あくじ
あちら,あちら
当たる,あたる
荒れる,あれる
遊ぶ,あそぶ
安置,あんち
開ける,あける
暑い,あつい
味見,あじみ
仰ぐ,あおぐ
空き巣,あきす
合わせ,あわせ
歩み,あゆみ
アジア,あじあ
和える,あえる
アーム,あーむ
当てる,あてる
頭,あたま
荒らす,あらす
当て字,あてじ
安価,あんか
相手,あいて
あずさ,あずさ
悪意,あくい
甘酢,あまず
朝日,あさひ
嵐,あらし
空き地,あきち
愛護,あいご
甘み,あまみ
アウト,あうと
悪化,あっか
青葉,あおば
アロエ,あろえ
アート,あーと
荒れ地,あれち
雨戸,あまど
暗示,あんじ
あて名,あてな
安易,あんい
アニメ,あにめ
あさる,あさる
あやす,あやす
悪魔,あくま
辺り,あたり
上げる,あげる
暴く,あばく
兄貴,あにき
余る,あまる
合間,あいま
飽きる,あきる
炙る,あぶる
露わ,あらわ
洗い,あらい
合わす,あわす
あがく,あがく
安打,あんだ
歩く,あるく
浴びる,あびる
網戸,あみど
赤字,あかじ
喘ぐ,あえぐ
上がる,あがる
合図,あいず
あそこ,あそこ
アイヌ,あいぬ
浅い,あさい
遊び,あそび
穴場,あなば
アラブ,あらぶ
あいつ,あいつ
アーチ,あーち
淡い,あわい
甘い,あまい
アップ,あっぷ
阿呆,あほう
安否,あんぴ
余り,あまり
歩む,あゆむ
明かす,あかす
あさり,あさり
赤身,あかみ
