胃痛,いつう
いわく,いわく
いとこ,いとこ
家路,いえじ
幾ら,いくら
インド,いんど
いなり,いなり
至る,いたる
いわれ,いわれ
遺作,いさく
生ける,いける
痛手,いたで
致す,いたす
遺書,いしょ
移行,いこう
急ぐ,いそぐ
委託,いたく
一致,いっち
依頼,いらい
生きる,いきる
異質,いしつ
異様,いよう
威嚇,いかく
生かす,いかす
一つ,いちつ
癒し,いやし
印字,いんじ
いずれ,いずれ
意欲,いよく
泉,いずみ
祝う,いわう
痛む,いたむ
意識,いしき
家出,いえで
印紙,いんし
異国,いこく
祈り,いのり
幾多,いくた
いちご,いちご
いるか,いるか
因果,いんが
いわし,いわし
祝い,いわい
インク,いんく
嫌気,いやけ
一度,いちど
一夜,いちや
医者,いしゃ
いちず,いちず
いろは,いろは
遺跡,いせき
行き来,いきき
いかが,いかが
いびつ,いびつ
戦,いくさ
威張る,いばる
違法,いほう
遺族,いぞく
イラク,いらく
至り,いたり
挑む,いどむ
医学,いがく
一家,いっか
幾つ,いくつ
以外,いがい
怒り,いかり
五日,いつか
色気,いろけ
衣類,いるい
一手,いって
痛み,いたみ
一気,いっき
痛い,いたい
異物,いぶつ
いじめ,いじめ
硫黄,いおう
一味,いちみ
祈る,いのる
いとう,いとう
田舎,いなか
一時,いちじ
いびき,いびき
弄る,いじる
衣服,いふく
癒す,いやす
入れる,いれる
急ぎ,いそぎ
育児,いくじ
いとま,いとま
陰気,いんき
異例,いれい
いずこ,いずこ
医薬,いやく
入れ歯,いれば
移動,いどう
一部,いちぶ
いろり,いろり
命,いのち
遺骨,いこつ
憩い,いこい
威圧,いあつ
異性,いせい
抱く,いだく
五つ,いつつ
偉大,いだい
いびる,いびる
