小川,おがわ
おかみ,おかみ
多い,おおい
犯す,おかす
落ちる,おちる
遅い,おそい
押さえ,おさえ
重み,おもみ
起こる,おこる
女,おんな
音符,おんぷ
恐れ,おそれ
踊る,おどる
踊り,おどり
おわび,おわび
男,おとこ
往路,おうろ
おかげ,おかげ
送る,おくる
泳ぎ,およぎ
劣る,おとる
お世辞,おせじ
乙女,おとめ
おまえ,おまえ
おなご,おなご
王子,おうじ
思う,おもう
惜しむ,おしむ
折り目,おりめ
大家,おおや
送り,おくり
恩師,おんし
及ぶ,およぶ
帯びる,おびる
おじぎ,おじぎ
汚物,おぶつ
惜しい,おしい
多め,おおめ
王家,おうけ
落ち目,おちめ
お世話,おせわ
応募,おうぼ
オーラ,おーら
お酒,おさけ
大手,おおて
音痴,おんち
お節,おせち
温和,おんわ
襲う,おそう
下ろす,おろす
おごる,おごる
起こり,おこり
重し,おもし
お先,おさき
音波,おんぱ
お金,おかね
奥地,おくち
おかゆ,おかゆ
おとり,おとり
卸,おろし
降りる,おりる
泳ぐ,およぐ
起こし,おこし
脅し,おどし
納め,おさめ
落とす,おとす
おいら,おいら
落とし,おとし
おじや,おじや
落ち度,おちど
オイル,おいる
温度,おんど
大人,おとな
お礼,おれい
夫,おっと
覆う,おおう
己,おのれ
おまけ,おまけ
オクラ,おくら
拝む,おがむ
折れる,おれる
母屋,おもや
置き場,おきば
教え,おしえ
愚か,おろか
おかず,おかず
親子,おやこ
おでこ,おでこ
おやつ,おやつ
おから,おから
同じ,おなじ
終わり,おわり
起こす,おこす
落ち葉,おちば
王座,おうざ
終える,おえる
奥歯,おくば
表,おもて
覚え,おぼえ
多く,おおく
遅れ,おくれ
おまる,おまる
起きる,おきる
おかか,おかか
オペラ,おぺら
おきて,おきて
おなら,おなら
おむつ,おむつ
重い,おもい
おなか,おなか
終わる,おわる
おやじ,おやじ
脅す,おどす
およそ,およそ
負んぶ,おんぶ
