家内,かない
隠す,かくす
鏡,かがみ
交わす,かわす
飾る,かざる
からす,からす
陰り,かげり
稼ぎ,かせぎ
カフェ,かふぇ
絡む,からむ
化石,かせき
カジノ,かじの
返す,かえす
カルキ,かるき
乾き,かわき
香り,かおり
かがむ,かがむ
通い,かよい
かゆい,かゆい
カルテ,かるて
格差,かくさ
甘味,かんみ
限る,かぎる
過失,かしつ
肩身,かたみ
科学,かがく
カップ,かっぷ
架空,かくう
かけら,かけら
借りる,かりる
各自,かくじ
化合,かごう
過渡期,かとき
家財,かざい
彼氏,かれし
かつお,かつお
感知,かんち
構え,かまえ
皆無,かいむ
かすか,かすか
貨物,かもつ
形,かたち
カナダ,かなだ
影絵,かげえ
返し,かえし
絵画,かいが
重ね,かさね
カート,かーと
カンパ,かんぱ
過保護,かほご
カット,かっと
かさむ,かさむ
角度,かくど
漢語,かんご
加齢,かれい
課する,かする
角煮,かくに
カメラ,かめら
語る,かたる
買い手,かいて
華道,かどう
香る,かおる
会話,かいわ
完備,かんび
活字,かつじ
かかと,かかと
課題,かだい
緩和,かんわ
価格,かかく
囲む,かこむ
家庭,かてい
関与,かんよ
刀,かたな
仮想,かそう
かばう,かばう
かすみ,かすみ
火薬,かやく
片目,かため
幹部,かんぶ
隔離,かくり
仮説,かせつ
怪奇,かいき
カール,かーる
課税,かぜい
上手,かみて
かなう,かなう
簡易,かんい
カバー,かばー
カード,かーど
果樹,かじゅ
瓦,かわら
担ぐ,かつぐ
家風,かふう
火災,かさい
変わる,かわる
上座,かみざ
加速,かそく
カヌー,かぬー
絡み,からみ
下降,かこう
カラー,からー
家畜,かちく
監査,かんさ
欠かす,かかす
鬘,かつら
火星,かせい
かざす,かざす
掛ける,かける
果実,かじつ
閣下,かっか
枯れる,かれる
飾り,かざり
からし,からし
家族,かぞく
解雇,かいこ
歌劇,かげき
軽い,かるい
掛かる,かかる
各地,かくち
かわず,かわず
開始,かいし
可決,かけつ
辛い,からい
活気,かっき
構う,かまう
家計,かけい
かぶと,かぶと
箇所,かしょ
カレー,かれー
開花,かいか
為替,かわせ
海路,かいろ
可能,かのう
稼ぐ,かせぐ
隠れ,かくれ
貨幣,かへい
帰り,かえり
加盟,かめい
過労,かろう
加熱,かねつ
かなた,かなた
帰る,かえる
かぶる,かぶる
貸家,かしや
覚悟,かくご
かかし,かかし
カカオ,かかお
数え,かぞえ
金具,かなぐ
括弧,かっこ
空手,からて
会費,かいひ
過酷,かこく
兼ねる,かねる
歌舞伎,かぶき
確保,かくほ
監視,かんし
株価,かぶか
管理,かんり
渇く,かわく
活路,かつろ
片手,かたて
借り手,かりて
感度,かんど
体,からだ
枯れ葉,かれは
過密,かみつ
硬い,かたい
簡素,かんそ
介護,かいご
カルタ,かるた
家屋,かおく
科目,かもく
歌手,かしゅ
会議,かいぎ
勝手,かって
換気,かんき
垣根,かきね
かます,かます
合羽,かっぱ
火曜,かよう
漢字,かんじ
囲い,かこい
代わり,かわり
