国家,こっか
講義,こうぎ
コルク,こるく
候補,こうほ
小言,こごと
コリー,こりー
こなす,こなす
公務,こうむ
告知,こくち
小耳,こみみ
今季,こんき
木霊,こだま
小振り,こぶり
心,こころ
怖い,こわい
こそく,こそく
こぶし,こぶし
今度,こんど
こんろ,こんろ
国語,こくご
子猫,こねこ
コアラ,こあら
小雪,こゆき
固体,こたい
構図,こうず
個数,こすう
こねる,こねる
言葉,ことば
鼓動,こどう
こちら,こちら
後部,こうぶ
木陰,こかげ
好む,このむ
小鳥,ことり
子犬,こいぬ
古来,こらい
答え,こたえ
こびる,こびる
超える,こえる
交差,こうさ
心地,ここち
古代,こだい
こたつ,こたつ
工費,こうひ
小売り,こうり
細か,こまか
今夜,こんや
工具,こうぐ
コンビ,こんび
ココア,ここあ
懲りる,こりる
コーラ,こーら
こじき,こじき
コース,こーす
古風,こふう
工事,こうじ
子連れ,こづれ
コンポ,こんぽ
交互,こうご
後期,こうき
コピー,こぴー
コーチ,こーち
小枝,こえだ
高地,こうち
行為,こうい
昆布,こんぶ
こらす,こらす
講師,こうし
孤立,こりつ
今後,こんご
小麦,こむぎ
籠もる,こもる
コント,こんと
甲羅,こうら
小指,こゆび
こする,こする
困る,こまる
個性,こせい
鼓膜,こまく
小型,こがた
固有,こゆう
効果,こうか
告訴,こくそ
小馬鹿,こばか
コート,こーと
高度,こうど
込める,こめる
肥やす,こやす
小分け,こわけ
小物,こもの
好み,このみ
焦げる,こげる
ここら,ここら
コラム,こらむ
これら,これら
殺し,ころし
戸籍,こせき
口座,こうざ
国技,こくぎ
交付,こうふ
酷使,こくし
子供,こども
小銭,こぜに
航路,こうろ
コブラ,こぶら
コスト,こすと
今年,ことし
こけし,こけし
焦げ目,こげめ
小皿,こざら
固定,こてい
雇用,こよう
子守り,こもり
拒む,こばむ
子持ち,こもち
降雨,こうう
小僧,こぞう
個室,こしつ
コイル,こいる
小柄,こがら
こいつ,こいつ
国土,こくど
孤独,こどく
小雨,こさめ
凍る,こおる
暦,こよみ
衣,ころも
壊す,こわす
固形,こけい
転ぶ,ころぶ
子役,こやく
個別,こべつ
この世,このよ
氷,こおり
控訴,こうそ
焦がす,こがす
木の葉,このは
木立ち,こだち
国旗,こっき
酵母,こうぼ
コンパ,こんぱ
小声,こごえ
コップ,こっぷ
殺す,ころす
こぼす,こぼす
