樹脂,じゅし
自営,じえい
辞する,じする
自爆,じばく
時速,じそく
次回,じかい
自覚,じかく
自作,じさく
ジャム,じゃむ
塾,じゅく
時代,じだい
女児,じょじ
自殺,じさつ
自立,じりつ
自腹,じばら
仁義,じんぎ
人家,じんか
自明,じめい
術,じゅつ
上,じょう
自室,じしつ
実地,じっち
辞令,じれい
除夜,じょや
女医,じょい
地雷,じらい
実父,じっぷ
自滅,じめつ
実費,じっぴ
ジャズ,じゃず
地主,じぬし
染みる,じみる
自決,じけつ
実施,じっし
自筆,じひつ
自在,じざい
地道,じみち
事態,じたい
実務,じつむ
人事,じんじ
事実,じじつ
寺社,じしゃ
自前,じまえ
受理,じゅり
砂利,じゃり
自力,じりき
邪魔,じゃま
地元,じもと
女子,じょし
次女,じじょ
自宅,じたく
実技,じつぎ
自炊,じすい
自由,じゆう
耳鼻科,じびか
時効,じこう
持続,じぞく
実話,じつわ
時報,じほう
十,じゅう
地べた,じべた
実母,じつぼ
地獄,じごく
数珠,じゅず
辞書,じしょ
字引,じびき
実家,じっか
授与,じゅよ
地肌,じはだ
字幕,じまく
自害,じがい
自発,じはつ
自国,じこく
じっと,じっと
自動,じどう
