救う,すくう
滑る,すべる
進む,すすむ
透かし,すかし
捨てる,すてる
炭火,すみび
スロー,すろー
酢漬け,すづけ
過ごす,すごす
透ける,すける
水素,すいそ
素足,すあし
スカイ,すかい
すする,すする
巣箱,すばこ
スコア,すこあ
据える,すえる
勧め,すすめ
スリル,すりる
すごい,すごい
座り,すわり
救い,すくい
数値,すうち
砂場,すなば
全て,すべて
スキー,すきー
するめ,するめ
すもう,すもう
スープ,すーぷ
すすぎ,すすぎ
すいか,すいか
スパイ,すぱい
炊事,すいじ
すがる,すがる
酢豚,すぶた
すすき,すすき
スペル,すぺる
過ぎる,すぎる
素焼き,すやき
素肌,すはだ
スーツ,すーつ
姿,すがた
推理,すいり
スリー,すりー
素振り,すぶり
すだれ,すだれ
スター,すたー
すすぐ,すすぐ
水路,すいろ
素敵,すてき
済ます,すます
スリム,すりむ
巣立つ,すだつ
すずめ,すずめ
数個,すうこ
スペア,すぺあ
素顔,すがお
擦れる,すれる
水位,すいい
硯,すずり
スノー,すのー
涼む,すずむ
住まい,すまい
数字,すうじ
座る,すわる
滑り,すべり
素直,すなお
