賭博,とばく
問屋,とんや
ともす,ともす
冬季,とうき
討議,とうぎ
遂げる,とげる
トカゲ,とかげ
嫁ぐ,とつぐ
渡航,とこう
取っ手,とって
とろろ,とろろ
とろい,とろい
扉,とびら
トマト,とまと
とっさ,とっさ
途方,とほう
閉じる,とじる
床屋,とこや
トレー,とれー
突起,とっき
溶ける,とける
トリオ,とりお
峠,とうげ
得意,とくい
都内,とない
十日,とおか
トイレ,といれ
溶かす,とかす
都知事,とちじ
投下,とうか
止まる,とまる
通る,とおる
時計,とけい
とりこ,とりこ
閉ざす,とざす
当地,とうち
遠い,とおい
トライ,とらい
通り,とおり
東部,とうぶ
鳥居,とりい
都会,とかい
戸口,とぐち
遠目,とおめ
特技,とくぎ
塗装,とそう
遠出,とおで
都営,とえい
所,ところ
飛ばす,とばす
泊まり,とまり
隣,となり
豆腐,とうふ
灯油,とうゆ
届く,とどく
投資,とうし
当時,とうじ
通す,とおす
止める,とめる
突破,とっぱ
逃避,とうひ
時に,ときに
吐息,といき
遠く,とおく
図書,としょ
特価,とっか
トップ,とっぷ
とがる,とがる
年子,としご
渡米,とべい
都立,とりつ
取れる,とれる
とんぼ,とんぼ
