冷える,ひえる
羊,ひつじ
飛躍,ひやく
瞳,ひとみ
ひつぎ,ひつぎ
広場,ひろば
ひねる,ひねる
否決,ひけつ
ひどい,ひどい
東,ひがし
日取り,ひどり
開き,ひらき
日より,ひより
潜む,ひそむ
被告,ひこく
火花,ひばな
悲劇,ひげき
否定,ひてい
非力,ひりき
低い,ひくい
低め,ひくめ
飛行,ひこう
比率,ひりつ
ひなた,ひなた
ひそか,ひそか
日照り,ひでり
光,ひかり
比例,ひれい
昼間,ひるま
表,ひょう
ヒップ,ひっぷ
日差し,ひざし
日ごろ,ひごろ
ひぼう,ひぼう
干物,ひもの
頻度,ひんど
被害,ひがい
ヒール,ひーる
日暮れ,ひぐれ
ヒット,ひっと
額,ひたい
ヒント,ひんと
広い,ひろい
響き,ひびき
人手,ひとで
筆記,ひっき
火種,ひだね
日陰,ひかげ
拾う,ひろう
悲鳴,ひめい
光る,ひかる
秘める,ひめる
日の出,ひので
肥大,ひだい
冷やす,ひやす
引ける,ひける
必須,ひっす
左,ひだり
ひよこ,ひよこ
浸す,ひたす
費用,ひよう
一人,ひとり
品位,ひんい
ひがみ,ひがみ
控え,ひかえ
日干し,ひぼし
日よけ,ひよけ
日傘,ひがさ
一目,ひとめ
ひいき,ひいき
被爆,ひばく
響く,ひびく
秘密,ひみつ
昼寝,ひるね
皮肉,ひにく
開く,ひらく
被災,ひさい
必死,ひっし
一つ,ひとつ
悲痛,ひつう
日づけ,ひづけ
秘書,ひしょ
日焼け,ひやけ
比較,ひかく
百,ひゃく
浸る,ひたる
貧富,ひんぷ
