噴火,ふんか
太い,ふとい
腐敗,ふはい
風味,ふうみ
富裕,ふゆう
ふもと,ふもと
節目,ふしめ
付録,ふろく
副詞,ふくし
深み,ふかみ
不発,ふはつ
不幸,ふこう
ふすま,ふすま
不明,ふめい
不能,ふのう
フェア,ふぇあ
不在,ふざい
防ぐ,ふせぐ
復帰,ふっき
不慣れ,ふなれ
深い,ふかい
古く,ふるく
フリー,ふりー
付属,ふぞく
二日,ふつか
冬場,ふゆば
二人,ふたり
不服,ふふく
夫妻,ふさい
含む,ふくむ
不当,ふとう
不要,ふよう
風呂屋,ふろや
太る,ふとる
奮起,ふんき
フロア,ふろあ
不正,ふせい
フック,ふっく
吹雪,ふぶき
不毛,ふもう
夫婦,ふうふ
不動,ふどう
不平,ふへい
不足,ふそく
古い,ふるい
触れる,ふれる
普通,ふつう
風化,ふうか
双子,ふたご
フット,ふっと
二つ,ふたつ
風雨,ふうう
父兄,ふけい
老ける,ふける
符号,ふごう
増やす,ふやす
不起訴,ふきそ
古着,ふるぎ
塞ぐ,ふさぐ
フリル,ふりる
フォト,ふぉと
振るう,ふるう
伏せる,ふせる
不得手,ふえて
袋,ふくろ
封鎖,ふうさ
不思議,ふしぎ
不定,ふてい
風土,ふうど
不法,ふほう
不適,ふてき
不潔,ふけつ
太め,ふとめ
不向き,ふむき
不吉,ふきつ
増える,ふえる
風呂場,ふろば
太字,ふとじ
風情,ふぜい
