マニア,まにあ
真水,まみず
麻酔,ますい
回し,まわし
まくる,まくる
摩擦,まさつ
末尾,まつび
真っ赤,まっか
回る,まわる
マナー,まなー
間際,まぎわ
マウス,まうす
学び,まなび
マーク,まーく
交ぜる,まぜる
毎度,まいど
魔物,まもの
まとも,まとも
マダム,まだむ
まじめ,まじめ
守る,まもる
マーチ,まーち
回す,まわす
まぶす,まぶす
丸い,まるい
曲げる,まげる
参る,まいる
学ぶ,まなぶ
マリア,まりあ
まぶた,まぶた
まこと,まこと
魔女,まじょ
迷子,まいご
周り,まわり
負ける,まける
紛れ,まぎれ
迷い,まよい
前歯,まえば
マスト,ますと
混じる,まじる
迷う,まよう
参り,まいり
間抜け,まぬけ
満期,まんき
祭る,まつる
丸み,まるみ
魔界,まかい
漫画,まんが
マイク,まいく
枕,まくら
勝る,まさる
間近,まぢか
マット,まっと
麻薬,まやく
またぐ,またぐ
まゆ毛,まゆげ
祭り,まつり
真だい,まだい
真上,まうえ
まさか,まさか
マスク,ますく
魔よけ,まよけ
まぐろ,まぐろ
まとめ,まとめ
守り,まもり
真冬,まふゆ
任す,まかす
真夏,まなつ
まずい,まずい
混ざる,まざる
招き,まねき
曲がる,まがる
マリネ,まりね
丸太,まるた
曲がり,まがり
間取り,まどり
まねる,まねる
魔法,まほう
魔王,まおう
末期,まっき
招く,まねく
