ミント,みんと
見物,みもの
見せ場,みせば
ミクロ,みくろ
民家,みんか
見込む,みこむ
未納,みのう
惨め,みじめ
磨き,みがき
身内,みうち
見出し,みだし
見舞う,みまう
見栄え,みばえ
南,みなみ
見掛け,みかけ
実る,みのる
土産,みやげ
未定,みてい
水着,みずぎ
民話,みんわ
磨く,みがく
見切る,みきる
身振り,みぶり
ミドル,みどる
ミンチ,みんち
見合い,みあい
見聞き,みきき
味覚,みかく
身売り,みうり
港,みなと
密度,みつど
見込み,みこみ
水辺,みずべ
見合う,みあう
身寄り,みより
ミルク,みるく
都,みやこ
見舞い,みまい
身元,みもと
緑,みどり
ミラー,みらー
見抜く,みぬく
満たす,みたす
妙,みょう
三日,みっか
水煮,みずに
見事,みごと
乱す,みだす
三つ葉,みつば
身投げ,みなげ
見分け,みわけ
右手,みぎて
水気,みずけ
見張る,みはる
脈,みゃく
三つ,みっつ
見せる,みせる
見越す,みこす
未来,みらい
ミセス,みせす
未開,みかい
身柄,みがら
満ちる,みちる
未遂,みすい
岬,みさき
見なす,みなす
身近,みぢか
味方,みかた
見える,みえる
民事,みんじ
