デコレーションメール,でこれーしょんめーる
データオフロード,でーたおふろーど
デジタル・ディバイド,でじたる・でぃばいど
電波法,でんぱほう
ディープラーニング,でぃーぷらーにんぐ
電磁波,でんじは
デジタルフォトフレーム,でじたるふぉとふれーむ
デュアルバンド,でゅあるばんど
デコレーション絵文字,でこれーしょんえもじ
デファクトスタンダード,でふぁくとすたんだーど
電子透かし,でんしすかし
データ放送,でーたほうそう
電子カルテ,でんしかるて
デコード,でこーど
デジタル,でじたる
電子ブック,でんしぶっく
デバッグ,でばっぐ
電子コミック,でんしこみっく
データ通信端末,でーたつうしんたんまつ
デスクトップ,ですくとっぷ
デフォルトゲートウェイ,でふぉるとげーとうぇい
デュアル端末,でゅあるたんまつ
デジタルサイネージ,でじたるさいねーじ
デシベル,でしべる
伝送速度,でんそうそくど
データプレゼント,でーたぷれぜんと
電波,でんぱ
電子決済,でんしけっさい
データチャージカード,でーたちゃーじかーど
出会い系サイト,であいけいさいと
デコメ,でこめ
デコレーションアニメ,でこれーしょんあにめ
電子書籍中間フォーマット,でんししょせきちゅうかんふぉーまっと
デュアルローミング端末,でゅあるろーみんぐたんまつ
ディズニー・モバイル,でぃずにー・もばいる
デコレメール,でこれめーる
電波監理審議会,でんぱかんりしんぎかい
電界強度,でんかいきょうど
電気通信事業紛争処理委員会,でんきつうしんじぎょうふんそうしょりいいんかい
伝言メモ,でんごんめも
電気通信事業法,でんきつうしんじぎょうほう
デジタル署名,でじたるしょめい
デュアルコア,でゅあるこあ
データローミング,でーたろーみんぐ
電子書籍,でんししょせき
デコメール,でこめーる
電波利用料,でんぱりようりょう
